"astro-ph/0202443","Ersin Gogus","Richard Lieu (University of Alabama in Huntsville)","The effect of Planck scale space time fluctuations on Lorentz invariance
  at extreme speeds","Accepted by Astrophysical Journal Letters","Astrophys.J. 568 (2002) L67-L70","10.1086/340377",,"astro-ph gr-qc hep-ex hep-ph hep-th math-ph math.MP",,"  The starting point of this work is the axiomatic existence of a smallest
measurable interval, viz. the Planck time $t_P$, set by quantum fluctuations in
the vacuum metric tensor. By the Relativity Principle, the same limit must then
apply to the accuracy of all clocks which register time of events in their own
frames. Further, it implies that the ordinary meaning of distance also ceases
in the same manner beyond a scale l_P = c t_P. We demonstrate that quantum
space-time, if real, may be made manifest by observing very energetic
collisions, defined as interactions which occurred with the center-of-mass
frame $\Sigma'$ (of the participating bodies) moving at a high speed $v$
relative to our laboratory frame $\Sigma$. In such situations, the initial
conditions of the interaction are determined from direct measurements of the
ultra-energetic particles or photons by instruments aboard $\Sigma$: they
gather a raw dataset ${\cal S}$ which are subject to the limiting uncertainties
\~ (t_P, l_P). Yet a meaningful (i.e. experimentally verified) version of the
interaction is one where the interaction is viewed from frame $\Sigma'$. Since
no instruments aboard $\Sigma'$ have taken any data, the way we proceeded is by
a Lorentz transformation of ${\cal S}$ from $\Sigma$ to $\Sigma'$. Beware
however that the resulting ${\cal S'}$ no longer consists of raw data, i.e.
Lorentz distortions of probability distributions render the uncertainties
non-Planckian - in fact, it will be shown that as v -> c they are >> (t_P,
l_P), and are no longer negligible. Examples will given to indicate how a
proper interpretation of the most current high energy cosmic and gamma-ray data
necessitates incorporation of the said effect.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:18:08 GMT""},{""version"":""v2"",""created"":""Tue, 26 Feb 2002 02:55:04 GMT""}]","2009-11-07"
"astro-ph/0202453","Thomas Rauscher","F.-K. Thielemann, D. Argast, F. Brachwitz, G. Martinez-Pinedo, R.
  Oechslin, T. Rauscher, W.R. Hix, M. Liebendoerfer, A. Mezzacappa, P.
  Hoeflich, K. Iwamoto, K. Nomoto, H. Schatz, M.C. Wiescher, K.-L. Kratz, B.
  Pfeiffer, S. Rosswog","Stellar Sources of the Interstellar Medium","Review, 20 pages, uses style icrc.sty, to be published in Proc. ICRC
  2001",,,,"astro-ph",,"  With the exception of the Big Bang, responsible for 1,2H, 3,4He, and 7Li,
stars act as sources for the composition of the interstellar medium. Cosmic
rays are related to the latter and very probably due to acceleration of the
mixed interstellar medium by shock waves from supernova remnants. Thus, the
understanding of the abundance evolution in the interstellar medium and
especially the enrichment of heavy elements, as a function of space and time,
is essential. It reflects the history of star formation and the lifetimes of
the diverse contributing stellar objects. Therefore, the understanding of the
endpoints of stellar evolution is essential as well. These are mainly planetary
nebulae and type II/Ib/Ic supernovae as evolutionary endpoints of single stars,
but also events in binary systems can contribute, like e.g. supernovae of type
Ia, novae and possibly X-ray bursts and neutron star or neutron star - black
hole mergers. Despite many efforts, a full and self-consistent understanding of
supernovae (the main contributors to nucleosynthesis in galaxies) is not
existing, yet. Their fingerprints, however, seen either in spectra,
lightcurves, radioactivities/decay gamma-rays or in galactic evolution, can
help to constrain the composition of their ejecta and related model
uncertainties.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 16:13:47 GMT""}]","2007-05-23"
"astro-ph/0202454","Carlo Luciano Bianco","Remo Ruffini","Observational tests of the Electro-Magnetic Black Hole Theory in
  Gamma-Ray Bursts","19 pages, 11 figures, in Proceedings of the meeting ""Lighthouses in
  the Universe"", Springer-Verlag, Berlin, 2002",,"10.1007/10856495_21",,"astro-ph",,"  The Relative Space-Time Transformation (RSTT) Paradigm and the Interpretation
of the Burst Structure (IBS) Paradigm are applied to the analysis of the
structure of the burst and afterglow of Gamma-Ray Bursts within the theory
based on the vacuum polarization process occurring in an Electro-Magnetic Black
Hole, the EMBH theory. This framework is applied to the study of the GRB991216
which is used as a prototype. The GRB-Supernova Time Sequence (GSTS) Paradigm,
which introduces the concept of induced gravitational collapse in the
Supernovae-GRB association, is announced and will be applied, within the EMBH
theory, to GRB980425 as a prototype in a forthcoming paper.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 16:49:56 GMT""}]","2009-11-07"
"astro-ph/0202455","Carlo Luciano Bianco","Remo J. Ruffini","Gamma Ray Bursts and vacuum polarization process in electromagnetic
  Black Holes","23 pages, 11 figures, in the proceeding of the conference ""18th
  Advanced Icfa Beam Dynamics Workshop On Quantum Aspects Of Beam Physics""
  edited by P.C. Chen, Capri, October 15-20, 2000, World Scientific, Singapore,
  2001",,"10.1142/9789812777447_0030",,"astro-ph",,"  The developments of the elctromgnetic black holes physics and vacuum
polarization process are presented in the interpretation of Gamma-Ray Bursts.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 17:53:16 GMT""}]","2017-08-23"
"astro-ph/0202456","Nuno C. Santos","N. C. Santos (1), R. J. Garcia Lopez (2,3), G. Israelian (2), M. Mayor
  (1), R. Rebolo (2,4), A. Garcia-Gil (2), M. R. Perez de Taoro (2), S. Randich
  (5) ((1) Geneva Observatory, Switzerland, (2) Instituto de Astrofisica de
  Canarias, Spain, (3) Departamento de Astrofisica, Universidad de La Laguna,
  Spain, (4) Consejo Superior de Investigaciones Cientificas, Spain, (5)
  INAF/Osservatorio Astrofisico di Arcetri, Italy)","Beryllium abundances in stars hosting giant planets","A&A in press -- accepted on the 22/02/2002 (11 pages, 6 figures
  included)",,"10.1051/0004-6361:20020280",,"astro-ph",,"  We have derived beryllium abundances in a wide sample of stars hosting
planets, with spectral types in the range F7V-K0V, aimed at studying in detail
the effects of the presence of planets on the structure and evolution of the
associated stars. Predictions from current models are compared with the derived
abundances and suggestions are provided to explain the observed
inconsistencies. We show that while still not clear, the results suggest that
theoretical models may have to be revised for stars with Teff<5500K. On the
other hand, a comparison between planet host and non-planet host stars shows no
clear difference between both populations. Although preliminary, this result
favors a ``primordial'' origin for the metallicity ``excess'' observed for the
planetary host stars. Under this assumption, i.e. that there would be no
differences between stars with and without giant planets, the light element
depletion pattern of our sample of stars may also be used to further
investigate and constraint Li and Be depletion mechanisms.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:08:27 GMT""}]","2009-11-07"
"astro-ph/0202457","Stephane udry","F. Pepe, M. Mayor, F. Galland, D. Naef, D. Queloz, N.C. Santos, S.
  Udry, M. Burnet (Geneva Observatory)","The CORALIE survey for southern extra-solar planets VII. Two
  short-period Saturnian companions to HD108147 and HD168746","8 pages, A&A in press",,"10.1051/0004-6361:20020433",,"astro-ph",,"  We present the discovery of two Saturn-mass companions to HD108147 and
HD168746. Both belong to the lightest ever discovered planets. The minimum mass
of the companion to HD168746 is of only 0.77 the mass of Saturn and its orbital
period is 6.4 days. The companion to HD108147 orbits its parent star in 10.9
days and its minimum mass is 1.34 that of Saturn. Its orbit is characterized by
a high eccentricity, e=0.50, indicating possibly the presence of a second
companion. The detection of Saturn-mass planets by means of the Doppler
technique demands high radial-velocity measurement precision. The two new
candidates were discovered by means of the CORALIE echelle spectrograph. The
instrumental accuracy of CORALIE combined with the simultaneous ThAr-reference
technique has reached a level better than 3m/s. On many observed objects the
precision is now limited by photon noise. We present in this paper the weighted
cross-correlation technique, which leads to an improvement in the photon noise
of the computed radial velocity. We discuss as well a modification of the
numerical cross-correlation mask which reduces significantly the residual
perturbation effects produced by telluric absorption lines.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:35:55 GMT""},{""version"":""v2"",""created"":""Tue, 26 Mar 2002 15:47:03 GMT""}]","2009-11-07"
"astro-ph/0202458","Stephane udry","S. Udry, M. Mayor, D. Naef, F. Pepe, D. Queloz, N.C. Santos, M. Burnet
  (Geneva Observatory)","The CORALIE survey for southern extra-solar planets VIII. The very
  low-mass companions of HD141937, HD162020, HD168443, HD202206: brown dwarfs
  or superplanets?","14 pages including figures, accepted for publication in A&A",,"10.1051/0004-6361:20020685",,"astro-ph",,"  Doppler CORALIE measurements of the solar-type stars HD141937, HD162020,
HD168443 and HD202206 show Keplerian radial-velocity variations revealing the
presence of 4 new companions with minimum masses close to the
planet/brown-dwarf transition, namely with m_2sin(i) = 9.7, 14.4, 16.9, and
17.5 M_Jup, respectively. The orbits present fairly large eccentricities
(0.22<e<0.43). Except for HD162020, the parent stars are metal rich compared to
the Sun, as are most of the detected extra-solar planet hosts. Considerations
of tidal dissipation in the short-period HD162020 system points towards a
brown-dwarf nature for the low-mass companion. HD168443 is a multiple system
with two low-mass companions being either brown dwarfs or formed simultaneously
in the protoplanetary disks as superplanets. For HD202206, the radial
velocities show an additional drift revealing a further outer companion, the
nature of which is still unknown. Finally, the stellar-host and orbital
properties of massive planets are examined in comparison to lighter exoplanets.
Observed trends include the need of metal-rich stars to form massive exoplanets
and the lack of short periods for massive planets. If confirmed with improved
statistics, these features may provide constraints for the migration scenario.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:46:25 GMT""},{""version"":""v2"",""created"":""Tue, 7 May 2002 11:54:41 GMT""}]","2009-11-07"
"astro-ph/0202459","Iain Neill Reid","I. Neill Reid (STScI) and Kelle L. Cruz (U. Penn.)","Meeting the Cool Neighbours I: Nearby stars in the NLTT Catalogue -
  Defining the sample","67 pages, 13 figures, to be published in The Astronomical Journal.
  More information can be found at http://www.stsci.edu/~inr/nstars.html","Astron.J. 123 (2002) 2806-2821","10.1086/339699",,"astro-ph",,"  We are currently undertaking a program aimed at identifying
previously-unrecognised late-type dwarfs within 20 parsecs of the Sun. As a
first step, we have cross-referenced Luyten's NLTT proper motion catalogue
against the second incremental release of the 2MASS Point Source Catalogue, and
use optical/infrared colours, derived by combining Luytens's m(r) estimates
with 2MASS data, to identify candidate nearby stars. This paper describes the
definition of a reference sample of 1245 stars, and presents a compilation of
literature data for over one-third of the sample. Only 274 stars have
trigonometric parallax measurements, but we have used data for nearby stars
with well-determined trigonometric parallaxes to compute colour-magnitude
relations in the (M(V), (V-K)), (M(V), (V-I)) and (M(I), (I-J)) planes, and use
those relations to determine photometric parallaxes for NLTT stars with optical
photometry. Based on the 2MASS JHK data alone, we have identified a further 42
ultracool dwarfs ((J-K > 0.99) and use (J-K) colours to estimate photometric
parallaxes. Combining these various techniques, we identify 308 stars with
formal distances of less than 20 parsecs, while a further 46 have distance
estimates within 1-sigma of our survey limit. Of these 354 stars, 75, including
39 of the ultracool dwarfs. are new to nearby star catalogues. Two stars with
both optical and near-infrared photometry are potential additions to the
immediate Solar Neighbourhood, with formal distance estimates of less than 10
parsecs.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:50:19 GMT""}]","2009-11-07"
"astro-ph/0202460","Iain Neill Reid","I. Neill Reid (STScI), D. Kilkenny (SAAO) and Kelle L. Cruz (U. Penn.)","Meeting the Cool Neighbours, II: Photometry of southern NLTT stars","24 pages, 6 figures, to be published in The Astronomical Journal.
  More information can be found at http://www.stsci.edu/~inr/nstars.html","AJ, May 2002, 123, 2822","10.1086/339700",,"astro-ph",,"  We present BVRI photometry of 180 bright, southern nearby-star candidates.
The stars were selected from the New Luyten Two-Tenths proper motion catalogue
based on optical/infrared colours, constructed by combining Luytens's m(r)
estimates with near-infrared photometry from the 2-Micron All Sky Survey.
Photometric parallaxes derived from (V-K), (V-I) and (I-J) colours, combined
with the limited available astrometry, show that as many as 108 stars may lie
within 20 parsecs of the Sun. Of these, 53 are new to nearby star catalogues,
including three within 10 parsecs of the Sun.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:57:27 GMT""}]","2009-11-07"
"astro-ph/0202461","Iain Neill Reid","Kelle L. Cruz (U. Penn.) and I. Neill Reid (STScI and U. Penn.)","Meeting the Cool Neighbors III: Spectroscopy of Northern NLTT Stars","34 pages, 9 figures. Published version with minor changes. More
  information can be found at http://www.stsci.edu/~inr/nstars.html","AJ, May 2002, 123, 2828","10.1086/339973",,"astro-ph",,"  We present initial results of an all-sky search for late-type dwarfs within
20 pc of the Sun using the New Luyten Two-Tenths (NLTT) catalog
cross-referenced with the 2-Micron All Sky Survey (2MASS) database. The results
were obtained with low-resolution optical spectroscopic follow-up of candidate
nearby-stars as a preliminary test of our methodology. M_J, derived using
spectral indices, and 2MASS J are used to estimate distances. Out of the 70
objects observed, 28 are identified as previously unrecognized objects within
25 pc of the Sun, and up to 19 of these are within 20 pc. One, LP 647-13 is an
M9-type dwarf at 10.5 pc making it one of the four closest M9 dwarfs currently
known. We also discuss the chromospheric activity of the observed dwarfs.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 19:11:13 GMT""},{""version"":""v2"",""created"":""Thu, 2 May 2002 16:31:53 GMT""}]","2009-11-07"
"astro-ph/0202462","Reem Sari","Peter Goldreich and Re'em Sari (Caltech)","Eccentricity Evolution for Planets in Gaseous Disks","Submitted to ApJ","Astrophys.J.585:1024-1037,2003","10.1086/346202",,"astro-ph",,"  We investigate the hypothesis that interactions between a giant planet and
the disk from which it forms promote eccentricity growth. These interactions
are concentrated at discrete Lindblad and corotation resonances. Interactions
at principal Lindblad resonances cause the planet's orbit to migrate and open a
gap in the disk if the planet is sufficiently massive. Those at first order
Lindblad and corotation resonances change the planet's orbital eccentricity.
Eccentricity is excited by interactions at external Lindblad resonances which
are located on the opposite side of corotation from the planet, and damped by
co-orbital Lindblad resonances which overlap the planet's orbit. If the planet
clears a gap in the disk, the rate of eccentricity damping by co-orbital
Lindblad resonances is reduced. Density gradients associated with the gap
activate eccentricity damping by corotation resonances at a rate which
initially marginally exceeds that of eccentricity excitation by external
Lindblad resonances. But the corotation torque drives a mass flux which reduces
the density gradient near the resonance. Sufficient partial saturation of
corotation resonances can tip the balance in favor of eccentricity excitation.
A minimal initial eccentricity of a few percent is required to overcome viscous
diffusion which acts to unsaturate corotation resonances by reestablishing the
large scale density gradient. Thus eccentricity growth is a finite amplitude
instability. Formally, interactions at the apsidal resonance, which is a
special kind of co-orbital Lindblad resonance, appears to damp eccentricity
faster than external Lindblad resonances can excite it. However, apsidal waves
have such long wavelengths that they do not propagate in protoplanetary disks.
This reduces eccentricity damping by the apsidal resonance to a modest level.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 19:31:27 GMT""}]","2011-06-21"
