"astro-ph/0206392","Eli Waxman","E. Waxman and P. Meszaros","Collapsar Uncorking and Jet Eruption in GRB","Illustrative figures and expanded discussion of derivations added.
  Accepted for publication in ApJ","Astrophys.J. 584 (2003) 390-398","10.1086/345536",,"astro-ph",,"  We show that the collapsar model of gamma-ray bursts results in a series of
successive shocks and rarefaction waves propagating in the ""cork"" of stellar
material being pushed ahead of the jet, as it emerges from the massive stellar
progenitor. These shocks result in a series of characteristic, increasingly
shorter and harder thermal X-ray pulses, as well as a non-thermal gamma-ray
pulse, which precede the usual non-thermal MeV gamma-rays. We consider jets
escaping from both compact (CO or He dwarf) and blue supergiant stellar
progenitors. The period, fluence and hardness of the pulses serves as a
diagnostic for the size and density of the outer envelope of the progenitor
star.
","[{""version"":""v1"",""created"":""Sun, 23 Jun 2002 09:28:50 GMT""},{""version"":""v2"",""created"":""Fri, 11 Oct 2002 07:39:13 GMT""}]","2009-11-07"
"astro-ph/0206397",,"L. V. Shalyapina (1), A.V. Moiseev (2), V.A.Yakovleva (1) ((1)
  Astronomical Institute, SPbU, (2) Special Astrophysical Observatory RAS)","A Spectroscopic Study of the Peculiar Galaxy UGC 5600","Tex-file, 8 pages, 7 figures","Astron.Lett. 28 (2002) 443-453","10.1134/1.1491967","AI SPbU 2002","astro-ph",,"  We present our observations of the galaxy UGS 5600 with a long-slit
spectrograph (UAGS) and a multi-pupil field spectrograph (MPFS) using the 6-m
telescope at Special Astrophysical Observatory. Radial-velocity fields of the
stellar and gaseous components were constructed for the central region and
inner ring of the galaxy. We proved the existence of two almost orthogonal
kinematic subsystems and conclude that UGC 5600 is a galaxy with an inner polar
ring. In the circumnuclear region, we detected noncircular stellar motions and
suspected the existence of a minibar. The emission lines are shown to originate
in H II regions. We estimated the metallicity from the intensity ratio of the
[NII]$\lambda6583$ and \Ha lines to be nearly solar, which rules out the
possibility that the polar ring was produced by the accretion of gas from a
dwarf companion.
","[{""version"":""v1"",""created"":""Sun, 23 Jun 2002 10:16:09 GMT""}]","2009-11-07"
"astro-ph/0206398","Kohno Kotaro","K. Kohno, S. Matsushita, B. Vila-Vilaro, S. K. Okumura, T. Shibatsuka,
  M. Okiura, S. Ishizuki and R. Kawabe","Dense Molecular Gas and Star Formation in Nearby Seyfert Galaxies","6 pages, 5 figures, in ASP Conf. Ser., 249, The Central kpc of
  Starbursts and AGN, 672, typo corrected",,,,"astro-ph",,"  An imaging survey of CO(1-0), HCN(1-0), and HCO$^+$(1-0) lines in the centers
of nearby Seyfert galaxies has been conducted using the Nobeyama Millimeter
Array and the RAINBOW interferometer. Preliminary results reveal that 3
Seyferts out of 7 show abnormally high HCN/CO and HCN/HCO$^+$ ratios, which
cannot occur even in nuclear starburst galaxies. We suggest that the enhanced
HCN emission originated from X-ray irradiated dense obscuring tori, and that
these molecular line ratios can be a new diagnostic tool to search for ``pure''
AGNs. According to our HCN diagram, we suggest that NGC 1068, NGC 1097, and NGC
5194 host ``pure'' AGNs, whereas Seyfert nuclei of NGC 3079, NGC 6764, and NGC
7469 may be ``composite'' in nature.
","[{""version"":""v1"",""created"":""Sun, 23 Jun 2002 14:37:28 GMT""}]","2007-05-23"
"cond-mat/0206423","Jason R. Petta","J. R. Petta and D. C. Ralph","Measurements of strongly-anisotropic g-factors for spins in single
  quantum states","4 pages, 3 figures, 2 in color","Phys. Rev. Lett. 89, 156802 (2002)","10.1103/PhysRevLett.89.156802",,"cond-mat.mes-hall",,"  We have measured the full angular dependence, as a function of the direction
of magnetic field, for the Zeeman splitting of individual energy states in
copper nanoparticles. The g-factors for spin splitting are highly anisotropic,
with angular variations as large as a factor of five. The angular dependence
fits well to ellipsoids. Both the principal-axis directions and g-factor
magnitudes vary between different energy levels within one nanoparticle. The
variations agree quantitatively with random-matrix theory predictions which
incorporate spin-orbit coupling.
","[{""version"":""v1"",""created"":""Sat, 22 Jun 2002 16:39:54 GMT""}]","2010-10-05"
"cond-mat/0206424","Peter O. Fedichev","A. Recati, P.O. Fedichev, W. Zwerger, P.Zoller","Spin-charge separation in ultra-cold quantum gases","4 pages, revtex4, 2 eps figures",,"10.1103/PhysRevLett.90.020401",,"cond-mat.soft cond-mat.mes-hall",,"  We investigate the physical properties of quasi-1D quantum gases of fermion
atoms confined in harmonic traps. Using the fact that for a homogeneous gas,
the low energy properties are exactly described by a Luttinger model, we
analyze the nature and manifestations of the spin-charge separation. Finally we
discuss the necessary physical conditions and experimental limitations
confronting possible experimental implementations.
","[{""version"":""v1"",""created"":""Sat, 22 Jun 2002 19:11:32 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jul 2002 15:25:13 GMT""}]","2009-11-07"
"cond-mat/0206425","Jozsef Garai","Jozsef Garai","Melting of crystalline solids","supercooling and ultra-fast speed of the phase transition is added as
  requirements for the explanation of melting","Solid State Communications 150 (2010) 1710-1714","10.1016/j.ssc.2010.06.017",,"cond-mat.mtrl-sci","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  It is suggested that at the melting temperature the thermal phonon vibration
is in self-resonance with the lattice vibration of the surface atomic/molecular
layer. This self resonance occurs at a well defined temperature and triggers
the detachment of the atomic/molecular sheet or platelets from the surface of
the crystal. Thermodynamic data of five substances is used to test this
hypothesis. The calculated average phonon vibrational wavelengths are equal
with or harmonics of the d-spacing of the atomic/molecular sheets. The proposed
model is able to explain all of the features of melting.
","[{""version"":""v1"",""created"":""Sat, 22 Jun 2002 20:35:34 GMT""},{""version"":""v2"",""created"":""Fri, 5 Jul 2002 19:25:29 GMT""},{""version"":""v3"",""created"":""Wed, 7 May 2003 01:06:25 GMT""},{""version"":""v4"",""created"":""Wed, 22 Oct 2008 22:13:49 GMT""},{""version"":""v5"",""created"":""Thu, 5 Feb 2009 13:57:27 GMT""},{""version"":""v6"",""created"":""Mon, 9 Mar 2009 17:55:06 GMT""}]","2012-05-04"
"cond-mat/0206426","Myron B. Salamon","H. Yanagihara and M. B. Salamon","Skyrmion strings and the anomalous Hall effect in CrO$_2$","4 Figures",,"10.1103/PhysRevLett.89.187201",,"cond-mat.str-el cond-mat.stat-mech",,"  As in such 2D systems as the XY model, topological (or singularity point)
defects are thought to play a crucial role in the phase transitions of 3D spin
systems. In double exchange (DE) ferromagnets, the conduction electrons are
strongly coupled with core spins through Hund's rule, and in the presence of
non-trivial spin texture, acquire a Berry phase contribution to the anomalous
Hall effect (AHE). We combine Hall and magnetization data on CrO$_2$ with a
thermodynamical scaling hypothesis to confirm that the critical behavior of the
topological-spin-defect density is consistent with that of the heat capacity.
This analysis is the first experimental confirmation of the topological
character of critical fluctuations.
","[{""version"":""v1"",""created"":""Sat, 22 Jun 2002 21:30:13 GMT""}]","2009-11-07"
"cond-mat/0206427","Arthur F. Hebard","K. T. McCarthy, A. F. Hebard and S. B. Arnason","Magnetocapacitance: A probe of spin-dependent potentials","4 pages, 3 figures",,"10.1103/PhysRevLett.90.117201",,"cond-mat.mtrl-sci",,"  The magnetic field dependence of the capacitance of Pd-AlOx-Al thin-film
structures has been measured. The observed quadratic dependence of capacitance
on magnetic field is consistent with a theoretical model that includes the
effect of a spin-dependent electrochemical potential on electron screening in
the paramagnetic Pd. This spin-dependent electrochemical potential is related
to the Zeeman splitting of the narrow d-bands in Pd. The quantitative details
depend on the electronic band structure at the surface of Pd.
","[{""version"":""v1"",""created"":""Sat, 22 Jun 2002 21:59:27 GMT""}]","2009-11-07"
"cond-mat/0206428","Yuri N. Gornostyrev","Yu.N. Gornostyrev, M.I. Katsnelson, A.V. Kravtsov, A.V. Trefilov","Kink nucleation in two-dimensional Frenkel-Kontorova model","REVTeX 4 style, 4 pages, 4 figures, to appear in Phys. Rev. E, August
  1, 2002",,"10.1103/PhysRevE.66.027201",,"cond-mat.mtrl-sci",,"  A computer simulation of thermofluctuation nucleation of kinks on
dislocations and their dynamics is carried out in the framework of
two-dimensional (2D) Frenkel-Kontorova model. It is shown that at relatively
low temperatures and applied stresses the kinks can appear as a result of
developing instability of phonon modes localized in the vicinity of the
dislocation. The transition from this mechanism to the ordinary
thermofluctuation kink nucleation with temperature increase can reveal itself
in the peculiarities of yield stress temperature dependence.
","[{""version"":""v1"",""created"":""Sat, 22 Jun 2002 22:14:39 GMT""}]","2009-11-07"
"cond-mat/0206430","Moo Young Choi","Gun Sang Jeon, Jong Soo Lim, Hyun Jin Kim, M.Y. Choi","Dynamic transition and resonance in current-driven arrays of Josephson
  junctions","To appear in Physical Review B",,"10.1103/PhysRevB.66.024511",,"cond-mat",,"  We consider a two-dimensional fully frustrated Josephson-junction array,
which is driven uniformly by oscillating currents. As the temperature is
lowered, there emerges a dynamic phase transition to an ordered state with
nonzero dynamic order parameter for small currents. The transition temperature
decreases monotonically with the driving amplitude, approaching zero at a
certain critical value of the amplitude. Above the critical value, the
disordered phase and the dynamically ordered phase are observed to appear
alternatively. The characteristic stochastic resonance behavior of the system
is also examined, which reveals that the resonance behavior of odd and even
harmonics can be different according to the zero-temperature state.
","[{""version"":""v1"",""created"":""Sun, 23 Jun 2002 08:02:30 GMT""}]","2009-11-07"
