"astro-ph/0209120","James Reeves","J. Reeves, G. Wynn, P. O'Brien, K. Pounds (University of Leicester)","Extreme X-ray variability in the luminous quasar PDS 456","5 pages. Accepted for publication in MNRAS Letters","Mon.Not.Roy.Astron.Soc. 336 (2002) L56","10.1046/j.1365-8711.2002.06038.x",,"astro-ph",,"  We present evidence from Beppo-SAX and XMM-Newton of extreme X-ray
variability in the high luminosity radio-quiet quasar PDS 456, the most
luminous known AGN at z<0.3. Repeated X-ray flaring is found in PDS 456, over
the duration of the 340 ksec long Beppo-SAX observation. The X-ray flux doubles
in just 30 ksec, whilst the total energy output of the flaring events is as
high as 10^51 erg. Under the assumption of isotropic emission at the Eddington
limit, this implies that the size of the X-ray emitting region in PDS 456 is
less than 3 Schwarzschild radii, for a 10^9 solar mass black hole. From the
rates of change of luminosity observed during the X-ray flares, we calculate
lower limits for the radiative efficiency between 0.06 and 0.41, implying that
accretion onto a Kerr black hole is likely in PDS 456. We suggest that the
rapid variability is from X-ray flares produced through magnetic reconnection
above the disc and calculate that the energetics and timescale of the flares
are plausible if the quasar is accreting near to the maximum Eddington rate. A
similar mechanism may account for the extreme rapid X-ray variability observed
in many Narrow Line Seyfert 1s. In the case of PDS 456, we show that the X-ray
flaring could be reproduced through a self-induced cascade of about 1000
individual flares over a timescale of the order 1 day.
","[{""version"":""v1"",""created"":""Fri, 6 Sep 2002 16:41:12 GMT""}]","2009-11-07"
"astro-ph/0209121","Lawrence Wai","Lawrence Wai","GLAST Dark Matter Search","Poster at the XXII Physics in Collisions Conference (PIC02),
  Stanford, Ca, USA, June 2002, 3 pages, LaTeX, 2 eps figures. PSN THAP03","eConf C020620 (2002) THAP03",,,"astro-ph",,"  The GLAST Large Area Telescope, scheduled for launch in 2006, is a next
generation space based gamma ray telescope which will improve in point source
sensitivity by a factor of 30 over that of EGRET below 10 GeV, and extend
beyond EGRET up to 300 GeV. Thus GLAST offers a unique opportunity to discover
WIMP dark matter through precision studies of gamma rays produced in pair
annihilations. The most dense region of dark matter in our galaxy is currently
thought to occur at the center; in particular, dark matter should concentrate
within 3 pc of the putative supermassive black hole located at the SgrA* radio
source. In fact, the 2nd and 3rd EGRET catalogs contain a significant point
source coincident with the Milky Way galactic center within a resolution of 12
arcminutes. The EGRET team has determined that the spectral and temporal
characteristics of this point source are consistent with dark matter WIMP
annihilations. More detailed analysis has determined that the magnitude and
spectrum of the EGRET source is consistent with relic WIMPs concentrated within
3 pc of the central supermassive black hole. Furthermore, the SgrA* radio
emission is consistent with the synchrotron radiation expected from electrons
and positrons produced in WIMP annihilations. If true, then GLAST should be
able to constrain the particle properties of the postulated WIMP with 1 month
of data.
","[{""version"":""v1"",""created"":""Fri, 6 Sep 2002 17:47:27 GMT""}]","2007-05-23"
"astro-ph/0209122","Madappa Prakash","Madappa Prakash (1), James M. Lattimer (1), Andrew W. Steiner (1), and
  Dany Page (2) ((1) State University of New York at Stony Brook, New York,
  USA, (2) Instituto de Astronomia, UNAM, Mexico)","Observability of Neutron Stars with Quarks","4 pages, 1 figure, uses espcrc1.sty (included)","Nucl.Phys. A715 (2003) 835-838","10.1016/S0375-9474(02)01514-2",,"astro-ph hep-ph nucl-th",,"  Recent Chandra observations have raised expectations that the objects RX
J185635-3754 and 3C58 are either bare strange quark stars or stars with
extended quark cores. However, these observations can also be interpreted in
terms of normal neutron stars. Essential requirements for either explanation
are that they simultaneously account for the observed (i) spectral features
(i.e., thermal or nonthermal, possible lines), (ii) bounds on the inferred mass
(M) and radius (R), and (iii) the cooling curves (effective temperatures T and
luminosities L vs. age). Compact stars offer the promise of delineating QCD at
finite baryon density (Lattimer and Prakash, 2001) in a fashion complementary
to relativistic heavy ion collider experiments, which largely address the
finite temperature, but baryon poor regime.
","[{""version"":""v1"",""created"":""Fri, 6 Sep 2002 18:31:08 GMT""}]","2009-11-07"
"astro-ph/0209123","Geoffrey C. Bower","Geoffrey C. Bower, Heino Falcke & Richard R. Mellon","A Radio Survey for Linear and Circular Polarization in Low Luminosity
  Active Galactic Nuclei","12 pages, 2 figures, accepted for publication in ApJL","Astrophys.J. 578 (2002) L103-L106","10.1086/344607",,"astro-ph",,"  We conducted a Very Large Array survey of eleven low luminosity active
galactic nuclei for linear and circular polarization at 8.4 GHz. We detected
circular polarization in one source (M81*) and linear polarization in 3
sources. Sensitivity limits were ~0.1% for both modes of polarization in 9 of
11 sources. The detections confirm the importance of nonthermal emission in
LLAGN. However, detection rates for circular and linear polarization are lower
for these sources than for more powerful AGN. Fractional linear polarization in
detected sources is also lower than in more powerful AGN. The weak linear
polarization in the survey sources indicates their overall similarity to Sgr
A*. Confusion with thermal sources, depolarization and weaker, less extended
jets may contribute to these differences. We detect a rotation measure >~ 7 x
10^4 rad m^-2 for NGC 4579. This may arise from magnetized plasma in the
accretion, outflow or interstellar regions. Inverted spectra are present in
both M81* and Sagittarius A* and absent from all sources in which circular
polarization is not detected. This suggests that optical depth effects are
important in the creation of circular polarization.
","[{""version"":""v1"",""created"":""Fri, 6 Sep 2002 20:01:35 GMT""}]","2009-11-07"
"astro-ph/0209124","Shanil N. Virani","Shanil N. Virani (1), Peter G. Ford (2), Joseph M. DePasquale (1), and
  Paul P. Plucinsky (1) ((1) SAO, (2) MIT)","Monitoring the Health and Safety of the ACIS Instrument On-Board the
  Chandra X-ray Observatory","12 pages, 6 figures. To be published in the SPIE Proceedings of
  Conference 4844: Observatory Operations to Optimize Scientific Return III",,"10.1117/12.460672",,"astro-ph",,"  The Chandra X-ray Observatory (CXO), NASA's latest ``Great Observatory'', was
launched on July 23, 1999 and reached its final orbit on August 7, 1999. The
CXO is in a highly elliptical orbit, approximately 140,000 km x 10,000 km, and
has a period of approximately 63.5 hours (~2.65 days). Communication with the
CXO nominally consists of 1-hour contacts spaced 8-hours apart. Thus, once a
communication link has been established, it is very important that the health
and safety status of the scientific instruments as well as the Observatory
itself be determined as quickly as possible.
  In this paper, we focus exclusively on the automated health and safety
monitoring scripts developed for the Advanced CCD Imaging Spectrometer (ACIS)
to use during those 1-hour contacts. ACIS is one of the two focal plane
instruments on-board the CXO. We present an overview of the real-time ACIS
Engineering Data Web Page and the alert schemes developed for monitoring the
instrument status during each communication contact. A suite of HTML and PERL
scripts monitors the instrument hardware house-keeping electronics (i.e.,
voltages and currents) and temperatures during each contact. If a particular
instrument component is performing either above or below pre-established
operating parameters, a sequence of email and alert pages are spawned to the
Science Operations Team of the Chandra X-ray Observatory Center so that the
anomaly can be quickly investigated and corrective actions taken if necessary.
We also briefly discuss the tools used to monitor the real-time science
telemetry reported by the ACIS flight software.
  The authors acknowledge support for this research from NASA contract
NAS8-39073.
","[{""version"":""v1"",""created"":""Fri, 6 Sep 2002 20:28:41 GMT""}]","2009-11-07"
"astro-ph/0209125","Gregory S. Novak","Gregory S. Novak, David Lai, and D. N. C. Lin","The Interesting Dynamics of the 55 Cancri System","To appear in Scientific Frontiers in Research on Extrasolar Planets
  (ASP Conf. Proc.), in press",,,,"astro-ph",,"  Recent studies of the 55 Cancri system suggest the existence of three planets
with periods of ~15 days, ~45 days, and ~5500 days (Marcy et al. 2002). The
inner two planets are near the 3:1 mean motion commensurability and it is
likely that these two planets became trapped in the resonance while farther
from the star and migrated together. As the innermost planet begins to
dissipate energy through tides the planets break out of the resonance. The
final state of the system gives important information about its past history,
such as the migration timescale that led to capture.
","[{""version"":""v1"",""created"":""Fri, 6 Sep 2002 22:37:12 GMT""}]","2007-05-23"
"astro-ph/0209126","Catherine E. Grant","Catherine E. Grant, Gregory Y. Prigozhin, Beverly LaMarr and Mark W.
  Bautz","Sacrificial charge and the spectral resolution performance of the
  Chandra Advanced CCD Imaging Spectrometer","9 pages, 7 figures to be published in Proc. SPIE 4851",,"10.1117/12.461282",,"astro-ph",,"  Soon after launch, the Advanced CCD Imaging Spectrometer (ACIS), one of the
focal plane instruments on the Chandra X-ray Observatory, suffered radiation
damage from exposure to soft protons during passages through the Earth's
radiation belts. The ACIS team is continuing to study the properties of the
damage with an emphasis on developing techniques to mitigate charge transfer
inefficiency (CTI) and spectral resolution degradation. A post-facto CTI
corrector has been developed which can effectively recover much of the lost
resolution. Any further improvements in performance will require knowledge of
the location and amount of sacrificial charge - charge deposited along the
readout path of an event which fills electron traps and changes CTI. We report
on efforts by the ACIS Instrument team to characterize which charge traps cause
performance degradation and the properties of the sacrificial charge seen
on-orbit. We also report on attempts to correct X-ray pulseheights for the
presence of sacrificial charge.
","[{""version"":""v1"",""created"":""Fri, 6 Sep 2002 23:23:19 GMT""}]","2009-11-07"
"astro-ph/0209127","Mary Putman","M.E. Putman (CASA), L. Staveley-Smith (ATNF), K.C. Freeman (RSAA),
  B.K. Gibson (Swinburne), D.G. Barnes (Swinburne)","The Magellanic Stream, High-Velocity Clouds and the Sculptor Group","ApJ accepted, Jan. 2003, for paper with figures included go to
  http://origins.Colorado.EDU/~mputman/pubs.html","Astrophys.J.586:170-194,2003","10.1086/344477",,"astro-ph",,"  The Magellanic Stream is a 100\deg x 10\deg filament of gas which lies within
the Galactic halo and contains ~ 2 x 10^8 \Msun of neutral hydrogen. We present
data from the HI Parkes All Sky Survey (HIPASS) in the first complete survey of
the entire Magellanic Stream and its surroundings. We also present a summary of
the reprocessing techniques used to recover large-scale structure in the
Stream. The Stream properties revealed include: bifurcation along the main
Stream filament; dense, isolated clouds which follow the entire length of the
Stream; head-tail structures; and a complex filamentary web at the head where
gas is being freshly stripped away from the Small Magellanic Cloud and the
Bridge. Debris which appears to be of Magellanic origin extends out to 20\deg
from the main Stream filaments. The large number of elongated Stream clouds
suggests the presence of shearing motions within the Stream, arising from tidal
forces or interaction with the tenuous Galactic halo. Clouds along the
sightline to the less distant half of the Sculptor Group, show anomalous
properties. We argue that these clouds represent halo material, and are not
distant Sculptor Group clouds. This result has significant implications for the
hypothesis that there might exist distant, massive HVCs within the Local Group.
(abridged)
","[{""version"":""v1"",""created"":""Fri, 6 Sep 2002 23:17:54 GMT""}]","2008-11-26"
"astro-ph/0209128","Antonino Del Popolo","A. Del Popolo (1,2,3) ((1) Dipartimento di Matematica, Universita'
  Statale di Bergamo, ITALY; (2) Feza Gursey Institute, Istanbul, Turkey; (3)
  Bogazici University, Physics Department, Istanbul, Turkey)","Dark matter, density perturbations and structure formation","34 pages. Invited review, Research Signpost",,,,"astro-ph",,"  This paper provides a review of the variants of dark matter (CDM, HDM) which
are thought to be fundamental components of the universe and their role in
origin and evolution of structures.
","[{""version"":""v1"",""created"":""Sat, 7 Sep 2002 13:42:40 GMT""}]","2007-05-23"
"astro-ph/0209129","Harald Kuntschner","Harald Kuntschner, Bodo L. Ziegler, R.M. Sharples, Guy Worthey, Klaus
  J. Fricke","VLT spectroscopy of NGC3115 globular clusters","18 pages, 10 figures, Latex, A&A accepted","Astron.Astrophys. 395 (2002) 761-778","10.1051/0004-6361:20021325",,"astro-ph",,"  We present results derived from VLT-FORS2 spectra of 24 different globular
clusters associated with the lenticular galaxy NGC3115. A subsample of 17
globular clusters have sufficiently high signal-to-noise to allow precision
measurements of absorption line-strengths. Comparing these indices to new
stellar population models by Thomas et al. we determine ages, metallicities and
element abundance ratios. Our data are also compared with the Lick/IDS
observations of Milky Way and M31 globular clusters. Unpublished higher order
Balmer lines (HgammaA,F and HdeltaA,F) from the Lick/IDS observations are given
in the Appendix. Our best age estimates show that the observed clusters which
sample the bimodal colour distribution of NGC3115 are coeval within our
observational errors (2-3 Gyr). Our best calibrated age/metallicity diagnostic
diagram (Hbeta vs [MgFe]) indicates an absolute age of 11-12 Gyr. We confirm
with our accurate line-strength measurements that the (V-I) colour is a good
metallicity indicator within the probed metallicity range. The abundance ratios
for globular clusters in NGC3115 give an inhomogeneous picture. We find a range
from solar to super-solar ratios for both blue and red clusters. From our
accurate recession velocities we detect, independent of metallicity, clear
rotation in the sample of globular clusters. In order to explain the
metallicity and abundance ratio pattern, particularly the range in abundance
ratios for the metal rich globular clusters in NGC3115, we favour a formation
picture with more than two distinct formation episodes.(Abridged)
","[{""version"":""v1"",""created"":""Sat, 7 Sep 2002 14:10:29 GMT""}]","2009-11-07"
"astro-ph/0209130","Antonio Pipino","Francesca Matteucci, Antonio Pipino (Department of Astronomy,
  University of Trieste)","Outflows from ellipticals: the role of supernovae","6 pages, 3 figures, to appear in the Proceedings of IAU Symposium No.
  212 'A Massive Star Odissey, from Main Sequence to Supernova'",,,,"astro-ph",,"  Models of SN driven galactic winds for ellipticals are presented. We assume
that ellipticals formed at high redshift and suffered an intense burst of star
formation. The role of supernovae of type II and Ia in the chemical enrichment
and in triggering galactic winds is studied. In particular, several recipes for
SN feed-back together with detailed nucleosynthesis prescriptions are
considered. It is shown that SNe of type II have a dominant role in enriching
the interstellar medium of elliptical galaxies whereas type Ia SNe dominate the
enrichment and the energetics of the intracluster medium.
","[{""version"":""v1"",""created"":""Sat, 7 Sep 2002 13:54:15 GMT""}]","2007-05-23"
"cond-mat/0209155","Zohar Nussinov","Shmuel Nussinov and Zohar Nussinov","A Novel Approach to Complex Problems","9 pages",,,,"cond-mat.dis-nn cond-mat.soft hep-th",,"  A novel approach to complex problems has been previously applied to graph
classification and the graph equivalence problem. Here we consider its
applications to a wide set of NP complete problems, namely, those of finding a
subgraph g inside a graph G.
","[{""version"":""v1"",""created"":""Fri, 6 Sep 2002 18:46:29 GMT""}]","2007-05-23"
"cond-mat/0209171","Andrei A. Fedorenko","Andrei A. Fedorenko and Semjon Stepanow","Depinning transition at the upper critical dimension","5 pages, revtex4; improved presentation, new results added","Phys. Rev. E 67, 057104 (2003)","10.1103/PhysRevE.67.057104",,"cond-mat.dis-nn cond-mat.stat-mech",,"  We study the effect of quenched random field disorder on a driven elastic
interface close to the depinning transition at the upper critical dimension
d_{c}=4 using the functional renormalization group. We have found that the
displacement correlation function behaves with distance x as ln(x)^{2/3} for
large x. Slightly above the depinning transition the force-velocity
characteristics is described by the equation v ~ f |ln(f)|^{2/9}, while the
correlation length behaves as L_{v} ~ f^{-1/2}|ln(f)|^{1/6}, where f=F/F_{c}-1
is the reduced driving force.
","[{""version"":""v1"",""created"":""Fri, 6 Sep 2002 17:48:40 GMT""},{""version"":""v2"",""created"":""Tue, 1 Apr 2003 09:05:35 GMT""}]","2009-11-07"
"cond-mat/0209172","Uli Buchenau","U. Buchenau","Energy landscape - a key concept for the dynamics of glasses and liquids","Contribution to the III Workshop on Nonequilibrium Phenomena in
  Supercooled Fluids, Glasses and Amorphous Materials, 22-27 September 2002,
  Pisa; 14 pages, 3 figures; Version 3 takes criticque at Pisa into account;
  final version 4 will be published in J.Phys.: Condens.Matter","J. Phys.: Condens. Matter 15, S955 (2003)","10.1088/0953-8984/15/11/319",,"cond-mat.dis-nn",,"  There is a growing belief that the mode coupling theory is the proper
microscopic theory for the dynamics of the undercooled liquid above a critical
temperature T_c. In addition, there is some evidence that the system leaves the
saddlepoints of the energy landscape to settle in the valleys at this critical
temperature. Finally, there is a microscopic theory for the entropy at the
calorimetric glass transition T_g by Mezard and Parisi, which allows to
calculate the Kauzmann temperature from the atomic pair potentials.
  The dynamics of the frozen glass phase is at present limited to
phenomenological models. In the spirit of the energy landscape concept, one
considers an ensemble of independent asymmetric double-well potentials with a
wide distribution of barrier heights and asymmetries (ADWP or Gilroy-Phillips
model). The model gives an excellent description of the relaxation of glasses
up to about T_g/4. Above this temperature, the interaction between different
relaxation centers begins to play a role. One can show that the interaction
reduces the number of relaxation centers needed to bring the shear modulus down
to zero by a factor of three.
","[{""version"":""v1"",""created"":""Fri, 6 Sep 2002 17:05:56 GMT""},{""version"":""v2"",""created"":""Sun, 8 Sep 2002 10:12:36 GMT""},{""version"":""v3"",""created"":""Thu, 3 Oct 2002 19:04:04 GMT""},{""version"":""v4"",""created"":""Fri, 29 Nov 2002 13:13:53 GMT""}]","2009-11-07"
"cond-mat/0209173","Emiliano Papa","Emiliano Papa, John Schliemann, Allan H. MacDonald and Matthew P.A.
  Fisher","Quantum theory of bilayer quantum Hall smectics","20 pages; Submitted to Phys. Rev B","Phys. Rev. B 67, 115330 (2003)","10.1103/PhysRevB.67.115330",,"cond-mat.str-el cond-mat.mes-hall",,"  Mean-field theory predicts that bilayer quantum Hall systems at odd integer
total filling factors can have stripe ground states in which the top Landau
level is occupied alternately by electrons in one of the two layers. We report
on an analysis of the properties of these states based on a coupled Luttinger
liquid description that is able to account for quantum fluctuations of
charge-density and position along each stripe edge. The soft modes associated
with the broken symmetries of the stripe state lead to an unusual coupled
Luttinger liquid system with strongly enhanced low-temperature heat capacity
and strongly suppressed low-energy tunneling density of states. We assess the
importance of the intralayer and interlayer back-scattering terms in the
microscopic Hamiltonian, which are absent in the Luttinger liquid description,
by employing a perturbative renormalization group approach which re-scales time
and length along but not transverse to the stripes. With interlayer
back-scattering interactions present the Luttinger liquid states are unstable
either to an incompressible striped state that has spontaneous interlayer phase
coherence and a sizable charge gap even at relatively large layer separations,
or to Wigner crystal states. Our quantitative estimates of the gaps produced by
back-scattering interactions are summarized in Fig. [phase_diagram] by a
schematic phase diagram intended to represent predicted experimental findings
in very high mobility bilayer systems at dilution refrigerator temperatures as
a function of layer separation and bilayer density balance.
","[{""version"":""v1"",""created"":""Fri, 6 Sep 2002 18:05:28 GMT""}]","2009-11-07"
