"astro-ph/0209192","Gianfranco Bertone","Gianfranco Bertone, Claudia Isola, Martin Lemoine, Guenter Sigl","Ultra-High Energy Heavy Nuclei Propagation in Extragalactic Magnetic
  Fields","10 pages, 16 figures, submitted to PRD","Phys.Rev. D66 (2002) 103003","10.1103/PhysRevD.66.103003",,"astro-ph hep-ph",,"  We extend existing work on the propagation of ultra-high energy cosmic rays
in extragalactic magnetic fields to a possible component of heavy nuclei,
taking into account photodisintegration, pion production, and creation of e+e-
pairs. We focus on the influence of the magnetic field on the spectrum and
chemical composition of observed ultra-high energy cosmic rays. We apply our
simulations to the scenarios proposed by Anchordoqui et al, in which Iron
nuclei are accelerated in nearby starburst galaxies, and show that it is in
marginal agreement with the data. We also show that it is highly unlikely to
detect He nuclei from M87 at the highest energies observed $\sim3 10^{20} $eV
as required for the scenario of Ahn et al. in which the highest energy cosmic
rays originate from M87 and are deflected in a Parker spiral Galactic magnetic
field.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 16:58:44 GMT""}]","2009-11-07"
"astro-ph/0209202","Fotis P. Gavriil","F. P. Gavriil, V. M. Kaspi, P. M. Woods","Magnetar-like X-ray Bursts from an Anomalous X-ray Pulsar","14 pages, 2 figures, accepted for publication in Nature. Note: The
  content of this paper is embargoed until 1900 hrs London time / 1400 US
  Eastern Time on Sept 11",,"10.1038/nature01011",,"astro-ph",,"  Anomalous X-ray Pulsars (AXPs) are a class of rare X-ray pulsars whose energy
source has been perplexing for some 20 years. Unlike other, better understood
X-ray pulsars, AXPs cannot be powered by rotation or by accretion from a binary
companion, hence the designation ``anomalous.'' AXP rotational and radiative
properties are strikingly similar to those of another class of exotic objects,
the Soft Gamma Repeaters (SGRs). However, the defining property of SGRs, namely
their low-energy gamma-ray and X-ray bursts, have heretofore not been seen in
AXPs. SGRs are thought to be ``magnetars,'' young neutron stars powered by the
decay of an ultra-high magnetic field. The suggestion that AXPs are magnetars
has been controversial. Here we report the discovery, from the direction of AXP
1E 1048-5937, of two X-ray bursts that have many properties similar to those of
SGR bursts. These events imply a close relationship between AXPs and SGRs, with
both being magnetars.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 18:43:45 GMT""}]","2009-11-07"
"astro-ph/0209205","Aaron D. Lewis","Aaron D. Lewis (1), David A. Buote (1), John T. Stocke (2) ((1)
  University of California, Irvine, (2) University of Colorado, Boulder)","Chandra Observations of Abell 2029: The Dark Matter Profile Down to
  <0.01 R_vir in an Unusually Relaxed Cluster","ApJ Accepted Version; to appear in 2003 March 20 Issue; 8 pages,
  emulateapj5, 3 figures (2 color)","Astrophys.J.586:135-142,2003","10.1086/367556",,"astro-ph",,"  We have used a high resolution Chandra observation to examine the core mass
distribution of the unusually regular cD cluster Abell 2029. This system is
especially well-suited for analysis of its mass distribution under the
assumption of hydrostatic equilibrium: it exhibits an undisturbed X-ray
morphology and a single-phase ICM. We estimate the total mass, and the
contributions of the gas and dark matter components from <3 arcsec to ~3 arcmin
(<4.4-260 kpc, 0.001-0.1 r_vir). The gas density is well fitted by either a
double beta-model, or a ``cusped'' beta-model. The temperature data are
increasing, and can be approximated by a power-law, with alpha_T = 0.27+/-0.01.
  Fitting smooth functions to density and T, we obtain a mass profile, which is
remarkably well described down to 0.002 r_vir by the NFW model, for which we
measure r_scale = 540+/-90 kpc (~0.2 r_vir) and c = 4.4 +/- 0.9. The mass
profile is also approximated by a power-law fit with alpha_m = 1.81+/-0.04
(corresponding to a logarithmic density slope of -1.19+/-0.04). The density
profile is too shallow to be fitted with a Moore et al. model. The consistency
with NFW at <0.01 r_vir is incompatible with SIDM, and contrasts with the
results from rotation curves of LSB and dwarf galaxies. This suggests that
while CDM may adequately describe clusters, it does not currently account
properly for small halos.
  Using the cD light, we observe a total M/L_V ~ 12 at r < 20 kpc, rising to >
100 beyond 200 kpc. The consistency with an NFW halo model and the large M/L
suggest the cluster is DM-dominated down to <~ 0.005 r_vir. We observe a gas
mass fraction = 0.139+/-0.004 at the limit of our observations, finding an
upper limit to Omega_m <= 0.29+/-0.03 (abridged).
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 18:25:38 GMT""},{""version"":""v2"",""created"":""Fri, 6 Dec 2002 23:03:06 GMT""}]","2014-10-13"
"astro-ph/0209206","Marcio Catelan","M. Catelan (1), A. V. Sweigart (2), B. J. Pritzl (3), H. A. Smith (4)
  ((1) P. Universidad Catolica de Chile, (2) NASA/GSFC, (3) NOAO, (4) Michigan
  State University)","On the Oosterhoff Classification of the Unusual, Metal-Rich Globular
  Clusters NGC 6388 and NGC 6441","2 pages, no figures. To appear in ""New Horizons in Globular Cluster
  Astronomy"" (ASP Conference Series), eds. G. Piotto, G. Meylan, G. Djorgovski,
  & M. Riello",,,,"astro-ph",,"  We discuss the Oosterhoff classification of the unusual, metal-rich globular
clusters NGC 6388 and NGC 6441, on the basis of new evolutionary models
computed for a range of metallicities. Our results confirm the difficulty in
unambiguously classifying these clusters into either Oosterhoff group, and also
question the view that RR Lyrae stars in Oosterhoff type II globular clusters
can all be evolved from a position on the blue zero-age horizontal branch.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 18:37:09 GMT""}]","2007-05-23"
"astro-ph/0209211",,"G. Chauvin, T. Fusco, A-M. Lagrange, D. Mouillet, J-L. Beuzit, M.
  Thomson, J-C. Augereau, F. Marchis, C. Dumas, P. Lowrance","No disk needed around HD 199143 B","5 pages, 4 figures","Astron.Astrophys. 394 (2002) 219-224","10.1051/0004-6361:20021114",,"astro-ph",,"  We present new, high angular resolution images of HD 199143 in the
Capricornus association, obtained with the adaptive optics system
ADONIS+SHARPII at the ESO 3.6m Telescope of La Silla Observatory. HD 199143 and
its neighbour star HD 358623 (separation 5'away) have previously been imaged
with adaptive optics. For each star, a companion has been detected in the J and
K bands at respective separations of 1.1'' and 2.2'' (Jayawardhana & Brandeker
2001). Our new photometry of HD 199143 B suggests that it is a M2 star and that
the presence of circumstellar dust proposed by Van den Ancker et al. (2000) is
no longer necessary. We show that the 12 microns flux detected by IRAS
previously interpreted as an IR excess, can be explained by the presence of the
late-type companion.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 16:21:36 GMT""}]","2009-11-07"
"astro-ph/0209217","Yasunobu Uchiyama","Y. Uchiyama (ISAS), F.A. Aharonian (MPI-K), T. Takahashi (ISAS)","Fine-structure in the nonthermal X-ray emission of SNR RX J1713.7-3946
  revealed by Chandra","8 pages, 9 figures; accepted for publication in A&A; significant
  additions for publication in Main journal (previous version was for A&A
  Letter); a manuscript (as a single PDF file, 501kb) including all figures is
  available at http://www.astro.isas.ac.jp/~uchiyama/publication/h4106.pdf","Astron.Astrophys. 400 (2003) 567-574","10.1051/0004-6361:20021824",,"astro-ph",,"  We present morphological and spectroscopic studies of the northwest rim of
the supernova remnant RX J1713.7-3946 based on observations by the Chandra
X-ray observatory. We found a complex network of nonthermal (synchrotron) X-ray
filaments, as well as a 'void' type structure -- a dim region of a circular
shape -- in the northwest rim. It is remarkable that despite distinct
brightness variations, the X-ray spectra everywhere in this region can be well
fitted with a power-law model with photon index around 2.3. We briefly discuss
some implications of these results and argue that the resolved X-ray features
in the northwest rim may challenge the perceptions of standard (diffusive
shock-acceleration) models concerning the production, propagation and radiation
of relativistic particles in supernova remnants.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 17:11:49 GMT""},{""version"":""v2"",""created"":""Tue, 7 Jan 2003 12:45:03 GMT""}]","2009-11-07"
"astro-ph/0209219","Dmitry Frederiks","E.P.Mazets (1), R.L. Aptekar (1), D.D. Frederiks (1), S.V. Golenetskii
  (1), V.N. Il'inskii (1), V.D. Palshin (1), T.L.Cline (2) and P.S. Butterworth
  (2) ((1) Ioffe Physico-Technical Institute, (2) NASA Goddard Space Flight
  Center)","Konus catalog of short GRBs","12 pages, including 4 tables, LaTeX AASTeX5.0, with 84 PNG files of
  reduced size figures. Catalog with full size figures is available at
  http://www.ioffe.ru/LEA/shortGRBs/Catalog/ To be submitted to the ApJ(Suppl.)",,,"LEA-09-02","astro-ph",,"  Observational data on the short GRBs obtained with the GGS-Wind Konus
experiment in the period from 1994 to 2002 are presented. The catalog currently
includes 130 events, detailing their appearance rate, time histories, and
energy spectra. Evidence of an early X-ray and gamma-ray afterglow for some of
the short GRBs is discussed. The catalog is available electronically at
http://www.ioffe.ru/LEA/shortGRBs/Catalog/
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 17:44:58 GMT""}]","2007-05-23"
"astro-ph/0209220","Claudia Maraston","C. Maraston (MPE), L. Greggio (Padova), A. Renzini (ESO), S. Ortolani
  (Padova), R. P. Saglia (USM-Munich), T.H.Puzia (USM-Munich), and M.
  Kissler-Patig (ESO)","Integrated Spectroscopy of Bulge Globular Clusters and Fields. II.
  Implications for stellar population models and elliptical galaxies","19 pages, 13 figures, Astronomy and Astrophysics in press. Only minor
  changes after the referee report","Astron.Astrophys. 400 (2003) 823-840","10.1051/0004-6361:20021723",,"astro-ph",,"  Synthetic Lick indices (e.g. Mg_2, Fe, etc.) of Simple Stellar Population
(SSP) models are calibrated for the first time up to solar metallicity with a
sample of Milky Way globular clusters (GCs) which includes the metal rich GCs
of the Galactic bulge. This metallicity range is relevant to elliptical
galaxies. It is shown that the Bulge GCs and integrated light follow the same
correlation between Mg and Fe indices of elliptical galaxies, showing weaker Fe
indices at given Mg indices with respect to models that assume solar-scaled
abundances. This similarity is the robust empirical evidence for enhanced
alpha/Fe ratios in the stellar populations of elliptical galaxies, since the
globular clusters are independently known to be alpha-enhanced. The uniqueness
of this alpha-overabundance solution is checked by exploring the whole range of
model ingredients. We argue that the standard models reproduce the Mg-Fe
correlation at low metallicities because the stellar templates used in the
synthesis are the alpha-enhanced stars of the galactic Halo. These same models,
however, fail to recover the Mg-Fe pattern of Bulge clusters and ellipticals at
high metallicities because the high-metallicity templates are disk stars, which
are not alpha-enhanced. The new SSP models by Thomas, Maraston & Bender (2002)
which incorporate the dependence on alpha/Fe reproduce the Mg and Fe indices of
GCs at all metallicities, with alpha/Fe=+0.3, which is in agreement with
spectroscopic abundance determinations. The Balmer indices (Hbeta, Hdelta,
Hgamma) are very well calibrated, provided the Horizontal Branch morphology is
taken into account. In particular, we reproduce the Balmer lines of NGC 6388
and NGC 6441, which are metal-rich GCs with a tail of warm Horizontal Branch
stars. {Abridged}
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 16:09:57 GMT""},{""version"":""v2"",""created"":""Fri, 20 Dec 2002 16:17:44 GMT""}]","2009-11-07"
"astro-ph/0209221","Kirpal Nandra","K. Nandra (NASA/GSFC), I. Georgantopoulos (NOA, Greece), A. Ptak
  (JHU), T.J. Turner (NASA/GSFC)","SHEEP: The Search for the High Energy Extragalactic Population","36 pages, 7 figs, to appear in ApJ","Astrophys.J. 582 (2003) 615-632","10.1086/344744",,"astro-ph",,"  We present the SHEEP survey for serendipitously-detected hard X-ray sources
in ASCA GIS images. In a survey area of $\sim 40$ deg$^{2}$, 69 sources were
detected in the 5-10 keV band to a limiting flux of $\sim 10^{-13}$ erg
cm$^{-2}$ s$^{-1}$. The number counts agree with those obtained by the similar
BeppoSAX HELLAS survey, and both are in close agreement with ASCA and BeppoSAX
2-10 keV surveys. Spectral analysis of the SHEEP sample reveals that the 2-10
and 5-10 keV surveys do not sample the same populations, however, as we find
considerably harder spectra, with an average $\Gamma\sim1.0$ assuming no
absorption. The implication is that the agreement in the number counts is
coincidental, with the 5-10 keV surveys gaining approximately as many hard
sources as they lose soft ones, when compared to the 2-10 keV surveys. This is
hard to reconcile with standard AGN ``population synthesis'' models for the
X-ray background, which posit the existence of a large population of absorbed
sources. We find no evidence of the population hardening at faint fluxes, with
the exception that the few very brightest objects are anomalously soft. 53 of
the SHEEP sources have been covered by ROSAT in the pointed phase. Of these 32
were detected. An additional 3 were detected in the RASS. As expected the
sources detected with ROSAT are systematically softer than those detected with
ASCA alone, and of the sample as a whole (truncated).
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 16:19:36 GMT""}]","2009-11-07"
"astro-ph/0209222","Eline Tolstoy","Eline Tolstoy","UVES Abundances of Stars in Nearby Galaxies: How Good are Theoretical
  Isochrones?","2 page contribution to conference ""New Horizons in Globular Cluster
  Astronomy"", Padua, June 2002 ed. G. Piotto, G. Meylan, G. Djorgovski, & M.
  Riello, ASP Conf. Ser. (2002)",,,,"astro-ph",,"  Here we report some results from an ESO-VLT programme to observe individual
stars in nearby dwarf galaxies at high resolution with the UVES spectrograph
(Tolstoy, Venn, Shetrone, Primas, Hill, Kaufer & Szeifert 2002, submitted to
AJ). We mainly concentrate on illustrating the issues and uncertainties
surrounding our efforts to determine the ages of stars for which we have
accurately measured [Fe/H] and [alpha/Fe].
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 16:32:11 GMT""}]","2007-05-23"
"astro-ph/0209223","Je-An Gu","Je-An Gu","A Way to the Dark Side of the Universe through Extra Dimensions","10 pages, 3 figures. To appear in the proceedings of 2002
  International Symposium on Cosmology and Particle Astrophysics (NTU, Taipei,
  Taiwan), May 31 - June 2, 2002",,"10.1142/9789812704900_0010",,"astro-ph gr-qc hep-th",,"  As indicated by Einstein's general relativity, matter and geometry are two
faces of a single nature. In our point of view, extra dimensions, as a member
of the {\em geometry face}, will be treated as a part of the {\em matter face}
when they are beyond our poor vision, thereby providing dark energy sources
effectively. The geometrical structure and the evolution pattern of extra
dimensions therefore may play an important role in cosmology. Various possible
impacts of extra dimensions on cosmology are investigated. In one way, the
evolution of homogeneous extra dimensions may contribute to dark energy,
driving the accelerating expansion of the universe. In the other way, both the
energy perturbations in the ordinary three-space, combined with homogeneous
extra dimensions, and the inhomogeneities in the extra space may contribute to
dark matter. In this paper we wish to sketch the basic idea and show how extra
dimensions may lead to the dark side of our universe.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 17:39:44 GMT""}]","2017-08-23"
