"astro-ph/0210184","Agnieszka Jacholkowska","A. Falvard, E. Giraud, A. Jacholkowska, J. Lavalle, E. Nuss, F. Piron,
  M. Sapinski (GAM-Montpellier), P. Salati, R. Taillet (LAPTH-Annecy), K.
  Jedamzik, G. Moultaka (LPMT-Montpellier)","Supersymmetric dark matter in M31: can one see neutralino annihilation
  with CELESTE?","Latex, 32 pages, 12 figures, 5 tables","Astropart.Phys. 20 (2004) 467-484","10.1016/j.astropartphys.2003.07.001","GAM-2002/03, LAPTH-937, PM/02-03","astro-ph hep-ph",,"  It is widely believed that dark matter exists within galaxies and clusters of
galaxies. Under the assumption that this dark matter is composed of the
lightest, stable supersymmetric particle, assumed to be the neutralino, the
feasibility of its indirect detection via observations of a diffuse gamma-ray
signal due to neutralino annihilations within M31 is examined. To this end,
first the dark matter halo of the close spiral galaxy M31 is modeled from
observations, then the resultant gamma-ray flux is estimated within
supersymmetric model configurations. We conclude that under favorable
conditions such as the rapid accretion of neutralinos on the central black hole
in M31 and/or the presence of many clumps inside its halo with $r^{-3/2}$ inner
profiles, a neutralino annihilation gamma-ray signal is marginally detectable
by the ongoing collaboration CELESTE.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:14:22 GMT""}]","2015-06-24"
"astro-ph/0210189","Myron A. Smith","Myron A. Smith and C. Simon Jeffery","Spectral Response of the Pulsationally-Induced Shocks in the Atmosphere
  of BW Vulpeculae","12 pages in Latex/MNRAS format, 9 eps-format figures","Mon.Not.Roy.Astron.Soc. 341 (2003) 1141","10.1046/j.1365-8711.2003.06423.x",,"astro-ph",,"  The star BW Vul excites an extremely strong radial pulsation that grows in
its envelope and is responsible for visible shock features in the continuum
flux and spectral line profiles emerging in the atmosphere At two phases
separated by 0.8 cycles. Material propelled upwards in the atmosphere from the
shock returns to the lower photosphere where it creates a second shock just
before the start of the next cycle. We have obtained three nights of echelle
data for this star over about 5 pulsation cycles (P = 0.201 days) in order to
evaluate the effects of on a number of important lines in the spectrum,
including the HeI 5875A and 6678A lines. These data were supplemented by
archival high-dispersion IUE (UV) data from 1994. A comparison of profiles of
the two HeI lines during the peak of the infall activity suggests that
differences in the development of the blue wing at this time are due to heating
and short-lived formations of an optically thin layer above the atmospheric
region compressed by the infall. This discovery and the well-known decreases in
equivalent widths of the CII 6578-83A doublet at the two shock phases, suggests
that shock flattens the temperature gradient and produces heating in heating
the upper atmosphere. Except for absorptions in the blue wings of the UV
resonance lines, we find no evidence for sequential shock delays arriving at
various regions of line formation of the photosphere (a ""Van Hoof effect"").
Phase lags cited by some former observers may be false indicators arising from
varying degrees of desaturation of multiple lines, such as for the red HeI
lines. In addition, an apparent lag in the equivalent width curve of lines
arising from less excited atomic levels could instead be caused by post-shock
cooling, followed by a rebound shock.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:27:49 GMT""}]","2009-11-07"
"astro-ph/0210190","Manuel Guedel","Manuel Guedel (PSI, Switz.), Marc Audard (PSI & Columbia Univ),
  Stephen L. Skinner (Univ. Colorado), Matthias I. Horvath (ETH Zuerich,
  Switz.)","X-Ray Evidence for Flare Density Variations and Continual Chromospheric
  Evaporation in Proxima Centauri","10 pages, 2 figures, accepted by The Astrophysical Journal, Letters;
  improved calculations of radiative loss of cool plasma (toward end of paper)","Astrophys.J.580:L73-L76,2002","10.1086/345404",,"astro-ph",,"  Using the XMM-Newton X-ray observatory to monitor the nearest star to the
Sun, Proxima Centauri, we recorded the weakest X-ray flares on a magnetically
active star ever observed. Correlated X-ray and optical variability provide
strong support for coronal energy and mass supply by a nearly continuous
sequence of rapid explosive energy releases. Variable emission line fluxes were
observed in the He-like triplets of OVII and NeIX during a giant flare. They
give direct X-ray evidence for density variations, implying densities between
2x10^{10} - 4x10^{11} cm^{-3} and providing estimates of the mass and the
volume of the line-emitting plasma. We discuss the data in the context of the
chromospheric evaporation scenario.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:29:14 GMT""},{""version"":""v2"",""created"":""Tue, 22 Oct 2002 18:18:51 GMT""}]","2009-11-07"
"astro-ph/0210191","Inma Dominguez","Oscar Straniero, Inma Dominguez, Gianluca Imbriani and Luciano
  Piersanti","The chemical composition of White Dwarfs as a test of convective
  efficiency during core He-burning","19 pages, 4 figures, accepted for publication in The Astrophysical
  Journal","Astrophys.J. 583 (2003) 878-884","10.1086/345427",,"astro-ph",,"  Pulsating white dwarfs provide constraints to the evolution of progenitor
stars. We revise He-burning stellar models, with particular attention to core
convection and to its connection with the nuclear reactions powering energy
generation and chemical evolution Theoretical results are compared to the
available measurements for the variable white dwarf GD 358, which indicate a
rather large abundance of central oxygen. We show that the attempt to constrain
the relevant nuclear reaction rate by means of the white dwarf composition is
faced with a large degree of uncertainty related to evaluating the efficiency
of convection-induced mixing.By combining the uncertainty of the convection
theory with the error on the relevant reaction rate we derive that the present
theoretical prediction for the central oxygen mass fraction in white dwarfs
varies between 0.3 and 0.9. Unlike previous claims, we find that models taking
into account semiconvection and a moderate C12(alpha,gamma)O16 reaction rate
are able to account for a high central oxygen abundance. The rate of the
C12(alpha,gamma)O16 used in these models agrees with the one recently obtained
in laboratory experiments (Kunz et al. 2002). On the other hand, when
semiconvection is inhibited, as in the case of classical models (bare
Schwarzschild criterion) or in models with mechanical overshoot, an extremely
high rate of the C12(\alpha,\gamma)O16 reaction is needed to account for a
large oxygen production. Finally, we show that the apparent discrepancy between
our result and those reported in previous studies depends on the method used to
avoid the convective runaways (the so called breathing pulses), which are
usually encountered in modeling late stage of core He-burning phase.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 17:18:20 GMT""}]","2009-11-07"
"astro-ph/0210192","Anatoly D. Erlykin","A.D.Erlykin, A.W.Wolfendale","Spectral Features and Masses in the PeV Region","4 pages, 2 figures, talk presented at XII Inrternational Symposium on
  Very High Energy Cosmic Ray Interactions, CERN, Geneva, 15-19 July 2002, to
  be published in Nucl.Phys.B (Proc.Suppl.)",,"10.1016/S0920-5632(03)80380-8",,"astro-ph",,"  An analysis is made of the masses and spectral features for cosmic rays in
the PeV region, insofar as they have a bearing on the problem of the
interaction of cosmic ray particles. In our Single Source Model we identified
two 'peaks' seen in a summary of the world's data on primary spectra, and
claimed that they are probably due to oxygen and iron nuclei from a local,
recent supernova. In the present work we examine other possible mass
assignments. We conclude that of the other possibilities only Helium and Oxygen
(instead of O and Fe) has much chance of success; the original suggestion is
still preferred, however. Concerning our location with respect to the SNR
shell, the analysis suggests that we are close to it - probably just inside.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 18:02:18 GMT""}]","2009-11-07"
"astro-ph/0210193","Robert Nichol","Percy Gomez, Robert Nichol, Chris Miller (CMU), Michael Balogh
  (Durham), Tomotsugu Goto (CMU), Ann Zabludoff (UArizona), Kathy Romer (CMU),
  Mariangela Bernardi (CMU), Ravi Sheth (Pitt), Andrew Hopkins (Pitt),
  Francisco Castander, Andrew Connolly (Pitt), Donald Schneider (PSU), Jon
  Brinkmann (APO), Don Lamb, Mark SubbaRao, Donald York (UChicago)","Galaxy Star-Formation as a Function of Environment in the Early Data
  Release of the Sloan Digital Sky Survey","Accepted for publication in ApJ, 24 pages in emulateapj.sty","Astrophys.J. 584 (2003) 210-227","10.1086/345593",,"astro-ph",,"  (Abridged) We present in this paper a detailed analysis of the effect of
environment on the star-formation activity of galaxies within the EDR of the
SDSS. We have used the Halpha emission line to derive the star-formation rate
(SFR) for each galaxy within a volume-limited sample of 8598 galaxies with 0.05
< z < 0.095 and M(r)<= -20.45. We find that the SFR of galaxies is strongly
correlated with the local (projected) galaxy density and thus we present here
the density-SFR relation that is analogous to the density-morphology relation.
The effect of density on the SFR of galaxies is seen in three ways. First, the
overall distribution of SFRs is shifted to lower values in dense environments
compared with the field population. Second, the effect is most noticeable for
the strongly star-forming galaxies in the 75th percentile of the SFR
distribution. Third, there is a ``break'' (or characteristic density) in the
density-SFR relation at a local galaxy density of 1h-2 Mpc-2. To understand
this break further, we have studied the SFR of galaxies as a function of
clustercentric radius from 17 clusters and groups objectively selected from the
SDSS EDR data. The distribution of SFRs of cluster galaxies begins to change,
compared with the field population, at a clustercentric radius of 3-4 virial
radii, which is consistent with the characteristic break in density that we
observe in the density-SFR relation. Our tests suggest that the
density-morphology relation alone is unlikely to explain the density-SFR
relation we observe. Taken all together, these works demonstrate that the
decrease in SFR of galaxies in dense environments is a universal phenomenon
over a wide range in density (from 0.08 to 10h-2 Mpc-2) and redshift (out to z
= 0.5).
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 20:25:28 GMT""}]","2009-11-07"
"astro-ph/0210194","Teddy Cheung","C.C. Cheung","Detection of Optical Synchrotron Emission from the Radio Jet of 3C279","6 pages, 3 figs. accepted for publication in ApJL with minor
  revisions","Astrophys.J. 581 (2002) L15-L18","10.1086/345926",,"astro-ph",,"  We report the detection of optical and ultraviolet emission from the
kiloparsec scale jet of the well-known quasar 3C~279. A bright knot, discovered
in archival V and U band {\it Hubble Space Telescope} Faint Object Camera
images, is coincident with a peak in the radio jet $\sim0.6\arcsec$ from the
nucleus. The detection was also confirmed in Wide Field Planetary Camera-2
images. Archival Very Large Array and MERLIN radio data are also analyzed which
help to show that the high-energy optical/UV continuum, and spectrum, are
consistent with a synchrotron origin from the same population of relativistic
electrons responsible for the radio emission.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 21:59:45 GMT""},{""version"":""v2"",""created"":""Tue, 5 Nov 2002 16:43:29 GMT""}]","2016-08-30"
"astro-ph/0210195","Phil Armitage","Philip J. Armitage, Ian A. Bonnell","Orbital migration and the brown dwarf desert","Proceedings, IAU Symp. 211 on ""Brown Dwarfs"", ed. E. L. Martin",,,,"astro-ph",,"  The orbital elements of extreme mass ratio binaries will be modified by
interactions with surrounding circumstellar disks. For brown dwarf companions
to Solar-type stars the resulting orbital migration is sufficient to drive
short period systems to merger, creating a brown dwarf desert at small
separations. We highlight the similarities and the differences between the
migration of brown dwarfs and massive extrasolar planets, and discuss how
observations can test a migration model for the brown dwarf desert.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 22:56:29 GMT""}]","2007-05-23"
"astro-ph/0210196","Chris Churchill","Chris Churchill (PSU), Steven Vogt (UCO/Lick), Jane Charlton (PSU)","The Physical Conditions of Intermediate Redshift MgII Absorbing Clouds
  from Voigt Profile Analysis","Accepted to the Astronomical Journal (January 2003)","Astron.J. 125 (2003) 98","10.1086/345513",,"astro-ph",,"  [Slightly Abridged] We present a detailed statistical analysis of the column
densities, N, and Doppler parameters, b, of MgII absorbing clouds at redshifts
0.4<z<1.2. We use the HIRES/Keck data and Voigt profile (VP) fitting results
presented by Churchill & Vogt (Paper I). The sample is comprised of 175 clouds
from 23 systems along 18 quasar lines of sight. In order to understand whether
inferred conditions could be ""false"", we performed extensive simulations of our
VP analyses. In brief, we find: (1) N(FeII) and N(MgII) are correlated at the
9-sigma level. There is a 5-sigma anti-correlation between N(MgI)/N(MgII) and
N(MgII). (2) Power-law fits to the distributions of N(MgII), N(FeII), and
N(MgI) yielded power-law slopes of -1.6, -1.7, and -2.0. (3) The modes of the
Doppler parameter distributions were <b>~5 km/s for MgII and FeII and <b>~7
km/s for MgI. The clouds are consistent with being thermally broadened, with
temperatures in the 30-40,000K range. (4) A two-component Gaussian model to the
velocity two-point correlation function yielded velocity dispersions of 54 km/s
and 166 km/s. The narrow component has roughly twice the amplitude of the
broader component. The width and amplitude of the broader component decreases
as equivalent width increases. (5) From photoionization models we find that the
column density ratios are most consistent with photoionization by the
extragalactic background, as opposed to stars. Based upon N(MgI)/N(MgII), it
appears that at least two-phase ionization models are required to explain the
data.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 11:04:20 GMT""}]","2009-11-07"
"astro-ph/0210197","Elizabeth A. Corbett","E. A. Corbett (1), L. J. Kewley (2), P. N. Appleton (3), V.
  Charmandaris (4), M. A. Dopita (5), C. A. Heisler (5), R. P. Norris (6), A.
  Zezas (2), A. Marston (3) ((1) AAO, (2) CfA, (3) SIRTF, (4) Cornell, (5) ANU,
  (6) ATNF)","COLA II - Radio and Spectroscopic Diagnostics of Nuclear Activity in
  Galaxies","24 pages, 4 figures, 6 tables. Accepted for publication in ApJ,
  February 2003","Astrophys.J.583:670-688,2003","10.1086/345414",,"astro-ph",,"  We present optical spectroscopic observations of 93 galaxies taken from the
infra-red selected COLA (Compact Objects in Low Power AGN) sample. The sample
spans the range of far-IR luminosities from normal galaxies to LIRGs. Of the
galaxies observed, 78 (84%) exhibit emission lines. Using a theoretically-based
optical emission-line scheme we classify 15% of the emission-line galaxies as
Seyferts, 77% as starbursts, and the rest are either borderline AGN/starburst
or show ambiguous characteristics. We find little evidence for an increase in
the fraction of AGN in the sample as a function of far-IR luminosity but our
sample covers only a small range in infrared luminosity and thus a weak trend
may be masked. As a whole the Seyfert galaxies exhibit a small, but
significant, radio excess on the radio-FIR correlation compared to the galaxies
classified as starbursts. Compact (<0.05'') radio cores are detected in 55% of
the Seyfert galaxies, and these galaxies exhibit a significantly larger radio
excess than the Seyfert galaxies in which cores were not detected. Our results
indicate that there may be two distinct populations of Seyferts,
``radio-excess'' Seyferts, which exhibit extended radio structures and compact
radio cores, and ``radio-quiet'' Seyferts, in which the majority of the radio
emission can be attributed to star-formation in the host galaxy. No significant
difference is seen between the IR and optical spectroscopic properties of
Seyferts with and without radio cores. (Abridged)
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 01:20:37 GMT""}]","2008-11-26"
"astro-ph/0210198","Henri M. J. Boffin","H.M.J. Boffin, V. Stanishev, Z. Kraicheva, V. Genkov","A warped accretion disc in PX And ?","To appear in the Proceedings of ""Interplay between periodic, cyclic
  and stochastic variability in selected areas of the HR diagram"", ASP Conf.
  Ser., 2003, C. Sterken, ed. - 6 pages",,,,"astro-ph",,"  We have undertaken a photometric study of the SW Sex star, PX And. We clearly
identify a negative superhump signal which might be regarded as the signature
of a nodal precessing disc, possibly warped. PX And is also observed to possess
highly variable eclipse depth and we discuss two possible explanations.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 07:33:10 GMT""}]","2007-05-23"
