"astro-ph/0210512","Todor Stanev","T.K. Gaisser & Todor Stanev","Charge ratio of muons from atmospheric neutrinos","6 pages, 4 figures, to be submitted to Physics Letters","Phys.Lett.B561:125-129,2003","10.1016/S0370-2693(03)00389-7","BA-02-37","astro-ph hep-ph",,"  We calculate the intensities and angular distributions of positive and
negative muons produced by atmospheric neutrinos. We comment on some sources of
uncertainty in the charge ratio. We also draw attention to a potentially
interesting signature of neutrino oscillations in the muon charge ratio, and we
discuss the prospects for its observation (which are not quite within the reach
of currently planned magnetized detectors).
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:36:42 GMT""}]","2011-05-12"
"astro-ph/0210517","Tomaso Belloni","F. Vignarca (INAF-Oss. Brera/Univ. Insubria), S. Migliari (INAF-Oss.
  Brera/Univ. Amsterdam), T. Belloni (INAF-Oss. Brera), D. Psaltis (IAS
  Princeton), M. van der Klis (Univ. Amsterdam)","Tracing the power-law component in the energy spectrum of black hole
  candidates as a function of the QPO frequency","11 pages, 10 figures. Accepted for publication on Astronomy &
  Astrophysics","Astron.Astrophys. 397 (2003) 729-738","10.1051/0004-6361:20021542",,"astro-ph",,"  We investigated the relation between the centroid frequency of the
quasi-periodic oscillation observed in the power density spectra of a sample of
galactic black-hole candidates with the power-law photon index obtained from
spectral fits. Our aim is to avoid inner accretion disk radius determination
directly from spectral fits, given the uncertainties of the absolute values
obtained in that way, but to base our analysis on the likely association of QPO
frequency to a characteristic radius. We used archival RXTE data of GRS
1915+105 and published parameters for GRO 1655-40, XTE J1550-564, XTE J1748-288
and 4U 1630-47. While for low values of the QPO frequency, the two parameters
are clearly correlated for each source, there is evidence for a turnoff in the
correlation above a characteristic frequency, different for different sources.
We discuss the possible nature of this turnoff.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 16:27:05 GMT""}]","2009-11-07"
"astro-ph/0210518","Jean-Pierre De Villiers","Jean-Pierre De Villiers and John F. Hawley","A Numerical Method for General Relativistic Magnetohydrodynamics","37 pages, 14 figures, submitted to ApJ. Animations can be viewed at
  http://www.astro.virginia.edu/~jd5v/grmhd/grmhd.html",,"10.1086/373949",,"astro-ph",,"  This paper describes the development and testing of a general relativistic
magnetohydrodynamic (GRMHD) code to study ideal MHD in the fixed background of
a Kerr black hole. The code is a direct extension of the hydrodynamic code of
Hawley, Smarr, and Wilson, and uses Evans and Hawley constrained transport (CT)
to evolve the magnetic fields. Two categories of test cases were undertaken. A
one dimensional version of the code (Minkowski metric) was used to verify code
performance in the special relativistic limit. The tests include Alfv\'en wave
propagation, fast and slow magnetosonic shocks, rarefaction waves, and both
relativistic and non-relativistic shock tubes. A series of one- and
two-dimensional tests were also carried out in the Kerr metric: magnetized
Bondi inflow, a magnetized inflow test due to Gammie, and two-dimensional
magnetized constant-$l$ tori that are subject to the magnetorotational
instability.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 16:57:00 GMT""}]","2009-11-07"
"astro-ph/0210519","Crystal L. Brogan","C. L. Brogan, and W. M. Goss (NRAO)","VLA Observations of the ""Eye of the Tornado""- the High Velocity \HII
  Region G357.63-0.06","Latex, 14 pages including 4 figures. Accepted to AJ",,"10.1086/345387",,"astro-ph",,"  The unusual supernova remnant candidate G357.7-0.1 and the compact source
G357.63-0.06 have been observed with the Very Large Array at 1.4 and 8.3 GHz.
The H92$\alpha$ line (8.3 GHz) was detected from the compact source with a
surprising velocity of about -210 km/s indicating that this source is an \HII
region, is most likely located at the Galactic center, and is unrelated to the
SNR. The \HI absorption line (1.4 GHz) data toward these sources supports this
picture and suggests that G357.7-0.1 lies farther away than the Galactic
center.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 17:11:33 GMT""}]","2009-11-07"
"astro-ph/0210520","Lynne Hillenbrand","Lynne A. Hillenbrand","Young Circumstellar Disks and Their Evolution: A Review","To Appear in ``Origins 2002: The Heavy Element Trail from Galaxies to
  Habitable Worlds'' (eds. C.E. Woodward and E.P. Smith, ASP Conf. Ser.) --
  [see http://www.astro.caltech.edu/~lah/papers/origins2002.ps.gz for intended
  layout]",,,,"astro-ph",,"  A detailed understanding of the physics of star and planet formation requires
study of individual objects as well as statistical assessment of global
properties and evolutionary trends. Observational investigations of
circumstellar material surrounding young stars have matured to the point that
both spectral energy distributions sampled over more than four decades in
wavelength and spatially resolved images or interferometric visibilities at
limited optical/infrared and sub-/millimeter wavelengths are becoming
available, though for few individual objects at present. Data on star/disk
systems combined with continuing surveys for exo-solar planets themselves will
lead to constraints on the likelihood and frequency of solar system formation.
An overarching goal of these pursuits is to connect what is observed elsewhere
with the history of our own solar solar system, and hence enhance our
appreciation of the uniqueness -- or lack thereof -- of the human circumstance.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:22:34 GMT""}]","2007-05-23"
"astro-ph/0210521","Peter D. Edmonds","Peter D. Edmonds (CfA)","Recent Breakthroughs in Detecting Neutron Star Binaries in Globular
  Clusters","8 pages, 2 figures. To appear in New Horizons in Globular Cluster
  Astronomy, eds. G. Piotto, G. Meylan, G. Djorgovski, & M. Riello, ASP
  Conference Series",,,,"astro-ph",,"  Binary stars have long been considered to play a crucial role in globular
cluster evolution, and offer the advantages of studying systems at the same,
well-determined distances. However, early search attempts were consistently
thwarted by crowding (particularly in the optical) and initial detections were
limited to small numbers of low-mass X-ray binaries (LMXBs) and a handful of
other systems. This resolution hurdle has been dramatically overcome by the
superb spatial resolution and sensitivity of HST and Chandra (supported by
advances in radio observations), enabling the detection in individual clusters
of more than 10, and in some cases more than 100, binaries. This review will
focus on detections of neutron star binaries, including recent optical
identifications, the exciting discoveries of multiple LMXBs in quiescence (with
the potential to constrain neutron star equations of state) and the detections
of millisecond pulsars (MSPs) in X-ray and optical images.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:35:03 GMT""}]","2007-05-23"
"astro-ph/0210522","Andrei M. Beloborodov","Andrei M. Beloborodov (CITA)","Nuclear Composition of Gamma-Ray Burst Fireballs","33 pages, accepted to ApJ","Astrophys.J.588:931-944,2003","10.1086/374217",,"astro-ph",,"  We study three processes that shape the nuclear composition of GRB fireballs:
(1) neutronization in the central engine, (2) nucleosynthesis in the fireball
as it expands and cools, and (3) spallation of nuclei in subsequent internal
shocks. The fireballs are found to have a neutron excess and a marginally
successful nucleosynthesis. They are composed of free nucleons,
alpha-particles, and deuterium. A robust result is the survival of a
significant neutron component, which has important implications. First, as
shown in previous works, neutrons can lead to observable multi-GeV neutrino
emission. Second, as we show in an accompanying paper, neutrons impact the
explosion dynamics at radii up to 10^{17} cm and change the mechanism of the
GRB afterglow emission.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:51:43 GMT""},{""version"":""v2"",""created"":""Wed, 23 Oct 2002 20:13:40 GMT""},{""version"":""v3"",""created"":""Thu, 16 Jan 2003 20:11:14 GMT""}]","2008-11-26"
"astro-ph/0210523","Michael C. Liu","Michael C. Liu (IfA/Hawaii), Joan Najita (NOAO), Alan T. Tokunaga
  (IfA/Hawaii)","A Survey for Circumstellar Disks Around Young Substellar Objects","ApJ, in press, 28 pages. Minor change to the online, abridged version
  of the abstract. No change to the actual paper","Astrophys.J.585:372-391,2003","10.1086/345895",,"astro-ph",,"  (Abridged) We have completed the first systematic survey for disks around
spectroscopically identified young brown dwarfs and very low mass stars. We
have obtained L'-band (3.8 um) imaging for 38 very cool objects in IC 348 and
Taurus. Our targets span spectral types from M6 to M9.5 (~100 to ~15 Mjup).
Using the objects' measured spectral types and extinctions, we find that most
of our sample (77%+/-15%) possess intrinsic IR excesses, indicative of disks.
Because the excesses are modest, conventional analyses using only IR colors
would have missed most of the sources with excesses. The observed IR excesses
are correlated with Halpha emission, consistent with a common accretion disk
origin. The excesses can be explained by disk reprocessing of starlight alone;
the implied accretion rates are at least an order of magnitude below typical
values for classical T Tauri stars. The observed distribution of IR excesses
suggests the presence of inner disk holes. The disk frequency appears to be
independent of the mass and age. In the same star-forming regions, disks around
brown dwarfs are at least as long-lived (~3 Myr) as disks around the T Tauri
stars. Altogether, the frequency and properties of young circumstellar disks
appear to be similar from the stellar regime down to the substellar and
planetary-mass regime. This provides prima facie evidence of a common origin
for most stars and brown dwarfs.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 20:02:26 GMT""},{""version"":""v2"",""created"":""Sat, 26 Oct 2002 07:09:26 GMT""},{""version"":""v3"",""created"":""Sat, 2 Nov 2002 13:33:35 GMT""}]","2008-11-26"
"astro-ph/0210524","Alicia Soderberg","A. M. Soderberg (Caltech), E. Ramirez-Ruiz (U. of Cambridge)","Flaring up: radio diagnostics of the kinematic, hydrodynamic and
  environmental properties of GRBs","12 pages, accepted to MNRAS","Mon.Not.Roy.Astron.Soc. 345 (2003) 854","10.1046/j.1365-8711.2003.07004.x",,"astro-ph",,"  The specific incidence of radio flares appears to be significantly larger
than that of the prompt optical emission. This abundance, coupled with the
reverse shock interpretation suggests that radio flares add a unique probe on
the physics of GRB shocks. Motivated thus, we estimate the strength of the
reverse shock expected for bursts in which multi-wavelength observations have
allowed the physical parameters of the forward shock to be determined. We use
all 6 bursts (980519, 990123, 990510, 991208, 991216, 000418) which are found
to be adiabatic and thus predicted to have a strong reverse shock. We aim to
constrain the hydrodynamic evolution of the reverse shock and the initial bulk
Lorentz factor -- which we found to be between $10^{2}$ and $10^{3}$ and well
above the lower limits derived from the requirement that gamma-ray bursts be
optically thin to high-energy photons. In half of the cases we improve the
description of the early afterglow lightcurves by adding a contribution from
the reverse shock. Modelling of this early emission provides the opportunity to
investigate the immediate surroundings of the burst. For 991216 and 991208, the
expected $1/r^2$ density structure for a stellar wind is not compatible with
the early afterglow lightcurves. Considering the radial range relevant to these
GRBs, we discuss the conditions under which the inclusion of a wind termination
shock may resolve the absence of a $1/r^2$ density profile.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 20:02:37 GMT""},{""version"":""v2"",""created"":""Fri, 17 Oct 2003 22:56:32 GMT""}]","2009-11-07"
"astro-ph/0210525","X. Hernandez","Xavier Hernandez and William H. Lee","Dynamical consequences of CDM merger trees","14 pages including 7 figures, accepted for publication in MNRAS. High
  resolution figures 2 and 3 can be foun at:http://www.astroscu.unam.mx/~wlee/","Mon.Not.Roy.Astron.Soc.347:1316,2004","10.1111/j.1365-2966.2004.07329.x",,"astro-ph",,"  Within the context of the standard structure formation scenario, massive
present day elliptical galaxies are sometimes thought of as the result of a
major merger of spiral systems. Through extensive SPH simulations of merging
spirals, we have explored these processes with the aim of quantifying their
relaxation times. This is important, as it sets a minimum time interval between
the onset of a merger, and the appearance of an elliptical galaxy. We then
compare this constraint with predictions of the hierarchical scenario, computed
through Press-Schechter merger trees. We find evidence for elliptical systems
which appear not to have been formed by a major merger of spirals.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 22:24:43 GMT""},{""version"":""v2"",""created"":""Mon, 27 Oct 2003 17:25:29 GMT""}]","2011-08-23"
"astro-ph/0210526","Bruce Hoeneisen","B. Hoeneisen","What future does the universe have?","8 pages, 0 figures",,,"USFQ-24-2001","astro-ph",,"  We discuss the future evolution of the universe in the light of recent
observations. The apparent luminosity vs. redshift of supernovae favor an
accelerating universe. However an Einstein-de Sitter critical universe should
not be ruled out yet.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 23:15:54 GMT""}]","2007-05-23"
