"astro-ph/0211036","Vishwakarma R. G.","J.V. Narlikar, R.G. Vishwakarma, Amir Hajian, Tarun Souradeep, G.
  Burbidge and F. Hoyle","Inhomogeneities in the Microwave Background Radiation interpreted within
  the framework of the Quasi-Steady State Cosmology","27 pages, including 5 figures; to appear in Astrophys. J","Astrophys.J. 585 (2003) 1-11","10.1086/345928",,"astro-ph gr-qc hep-th",,"  We calculate the expected angular power spectrum of the temperature
fluctuations in the microwave background radiation (MBR) generated in the
quasi-steady state cosmology (QSSC). The paper begins with a brief description
of how the background is produced and thermalized in the QSSC. We then discuss
within the framework of a simple model, the likely sources of fluctuations in
the background due to astrophysical and cosmological causes. Power spectrum
peaks at $l \approx 6-10$, 180-220 and 600-900 are shown to be related in this
cosmology respectively to curvature effects at the last minimum of the scale
factor, clusters and groups of galaxies. The effect of clusters is shown to be
related to their distribution in space as indicated by a toy model of structure
formation in the QSSC. We derive and parameterize the angular power spectrum
using six parameters related to the sources of temperature fluctuations at
three characteristic scales. We are able to obtain a satisfactory fit to the
observational band power estimates of MBR temperature fluctuation spectrum.
Moreover, the values of `best fit' parameters are consistent with the range of
expected values.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 04:41:55 GMT""}]","2009-11-07"
"astro-ph/0211037",,"Linhua Jiang, Jun Ma, Xu Zhou, Jiansheng Chen, Hong Wu, Zhaoji Jiang
  (National Astronomical Observatories, CAS, P. R. China)","Spectral Energy Distributions and Age Estimates of 172 Globular Clusters
  in M31","38 pages, 7 figures will appear in the February 2003 issue of AJ",,"10.1086/345885",,"astro-ph",,"  In this paper we present CCD multicolor photometry for 172 globular clusters
(GCs), taken from the Bologna catalog (Battistini et al. 1987), in the nearby
spiral galaxy M31. The observations were carried out by using the National
Astronomical Observatories 60/90 cm Schmidt Telescope in 13 intermediate-band
filters, which covered a range of wavelength from 3800 to 10000A. This provides
a multicolor map of M31 in pixels of 1.7""*1.7"". By aperture photometry, we
obtain the spectral energy distributions (SEDs) for these GCs. Using the
relationship between the BATC intermediate-band system used for the
observations and the UBVRI broad-band system, the magnitudes in the B and V
bands are derived. The computed V and B-V are in agreement with the values
given by Battistini et al. (1987) and Barmby et al. (2000). Finally, by
comparing the photometry of each GC with theoretical stellar population
synthesis models, we estimate ages of the sample GCs for different
metallicities. The results show that nearly all our sample GCs have ages more
than 10^{9} years, and most of them are around 10^{10} years old. Also, we find
that GCs fitted by the metal-poor model are generally older than ones fitted by
the metal-rich model.
","[{""version"":""v1"",""created"":""Sun, 3 Nov 2002 17:16:59 GMT""}]","2009-11-07"
"astro-ph/0211038","Henrique R. Schmitt","Henrique R. Schmitt (NRAO)","The Frequency of Active and Quiescent Galaxies with Companions","2 pages, 1 figure. To appear in ""Active Galactic Nuclei, from Central
  Engine to Host Galaxy"", eds Collin, Combes & Shlosman. PASP Conf. Ser",,,,"astro-ph",,"  We study the percentage of active, HII and quiescent galaxies with companions
in the Palomar survey. We find that when we separate the galaxies by their
morphological types (ellipticals or spirals), to avoid morphology-density
effects, there is no difference in the percentage of galaxies with companions
among the different activity types.
","[{""version"":""v1"",""created"":""Sun, 3 Nov 2002 20:59:49 GMT""}]","2007-05-23"
"astro-ph/0211039","Henrique R. Schmitt","Henrique R. Schmitt (NRAO)","The Orientation of Accretion Disks Relative to Dust Disks in Radio
  Galaxies","2 pages, 1 figure. To appear in ""Active Galactic Nuclei, from Central
  Engine to Host Galaxy"", eds Collin, Combes & Shlosman. PASP Conf. Ser",,,,"astro-ph",,"  We study the orientation of accretion disks, traced by the position angle of
the jet, relative to the dust disk major axis in a sample of 20 nearby Radio
Galaxies. We find that the observed distribution of angles between the jet and
dust disk major axis is consistent with jets homogeneously distributed over a
polar cap of 77 degrees.
","[{""version"":""v1"",""created"":""Sun, 3 Nov 2002 21:04:22 GMT""}]","2007-05-23"
"astro-ph/0211040","Jennifer L. Sokoloski","J. L. Sokoloski and S. J. Kenyon (Smithsonian Astrophysical
  Observatory)","CH Cygni I: Observational Evidence for a Disk-Jet Connection","7 pages, 4 figures, to appear in the ApJ","Astrophys.J. 584 (2003) 1021-1026","10.1086/345901",,"astro-ph",,"  We investigate the role of accretion in the production of jets in the
symbiotic star CH Cygni. Assuming that the rapid stochastic optical variations
in CH Cygni come from the accretion disk, as in cataclysmic variables, we use
changes in this flickering to diagnose the state of the disk in 1997. At that
time, CH Cyg dropped to a very low optical state, and Karovska et al. report
that a radio jet was produced. For approximately one year after the jet
production, the amplitude of the fastest (time scales of minutes) variations
was significantly reduced, although smooth, hour-time-scale variations were
still present. This light curve evolution indicates that the inner disk may
have been disrupted, or emission from this region suppressed, in association
with the mass-ejection event. We describe optical spectra which support this
interpretation of the flickering changes. The simultaneous state change, jet
ejection, and disk disruption suggests a comparison between CH Cygni and some
black-hole-candidate X-ray binaries that show changes in the inner disk radius
in conjunction with discrete ejection events on a wide range of time scales
(e.g., the microquasar GRS 1915+105 and XTE J1550-564).
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 00:54:42 GMT""}]","2009-11-07"
"astro-ph/0211041","Jennifer L. Sokoloski","J. L. Sokoloski and S. J. Kenyon (Smithsonian Astrophysical
  Observatory)","CH Cygni II: Optical Flickering from an Unstable Disk","8 pages, 5 figures, to appear in the ApJ","Astrophys.J. 584 (2003) 1027-1034","10.1086/345902",,"astro-ph",,"  CH Cygni began producing rapid, stochastic optical variations with the onset
of symbiotic activity in 1963. We use changes in this flickering between 1997
and 2000 to diagnose the state of the accretion disk during this time. In the
1998 high state, the luminosity of the B-band flickering component was
typically more than 20 times higher than in the 1997 and 2000 low states.
Therefore, the physical process or region that produces the flickering was also
primarily responsible for the large optical flux increase in the 1998 high
state. Assuming that the rapid, stochastic optical variations in CH Cygni come
from the accretion disk, as in cataclysmic variable stars, a change in the
accretion rate through the disk led to the 1998 bright state. All flickering
disappeared in 1999, when the accreting WD was eclipsed by the red giant
orbiting with a period of approximately 14 yr, according to the ephemeris of
Hinkle et al. and the interpretation of Eyres et al. We did not find any
evidence for periodic or quasi-periodic oscillations in the optical emission
from CH Cygni in either the high or low state, and we discuss the implications
for magnetic propeller models of this system. As one alternative to propeller
models, we propose that the activity in CH Cygni is driven by accretion through
a disk with a thermal-viscous instability, similar to the instabilities
believed to exist in dwarf novae and suggested for FU Ori pre-main-sequence
stars and soft X-ray transients.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 01:00:21 GMT""}]","2009-11-07"
"astro-ph/0211042","Grzegorz Kopacki","G. Kopacki, Z. Kolaczkowski, A. Pigulski","Variable stars in the globular cluster M13","10 pages, 9 figures, 5 tables, accepted for publication in AAp","Astron.Astrophys. 398 (2003) 541-550","10.1051/0004-6361:20021624",,"astro-ph",,"  Results of a search for variable stars in the central region of the globular
cluster M13 are presented. Prior to this study, 36 variable and suspected
variable stars were known in this cluster (Osborn 2000; Clement et al. 2001).
Of these stars, five were not observed by us. We find v3, v4, v10, v12, and v13
to be constant in light. Surprisingly, only two out of the ten variable star
candidates of Kadla et al. (1980) appear to be variable. Both are RRc
variables. Additionally, three RR Lyrae stars and one SX Phoenicis variable are
discovered. Three close frequencies are detected for an RRc star v36. It
appears that this variable is another multi-periodic RR Lyrae star pulsating in
non-radial modes. Light curves of the three known BL Herculis stars and all
known RR Lyrae stars are presented. The total number of known RR Lyrae stars in
M13 is now nine. Only one is an RRab star. The mean period of RRc variables
amounts to 0.36 +/- 0.05 d, suggesting that M13 should be included in the group
of Oosterhoff type II globular clusters. Mean V magnitudes and ranges of
variation are derived for seven RR Lyrae and three BL Herculis variables.
Almost all observed bright giants show some degree of variability. In
particular, we confirm the variability of two red giants announced to be
variable by Osborn (2000) and in addition find five new cases.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 07:16:09 GMT""}]","2009-11-07"
"astro-ph/0211043","Moshe Carmeli","Moshe Carmeli","The Line Elements in the Hubble Expansion","20 pages in LaTeX, with 4 figures in gzipped eps files",,,,"astro-ph",,"  In this lecture I present the line elements that express the Hubble
expansion. The coordinates here are the spatial coordinates $x$, $y$, $z$, and
the velocity coordinate $v$, which are actually what astronomers use in their
measurements. Two such line elements are presented: the first is the empty
space (no matter exists), and the second with matter filling up the Universe.
These line elements are the comparable to the standard ones, the Minkowski and
the FRW line elements in ordinary general relativity theory.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 08:15:30 GMT""},{""version"":""v2"",""created"":""Thu, 21 Nov 2002 09:58:34 GMT""}]","2007-05-23"
"astro-ph/0211044","Jochen Heidt","J. Heidt (1), I. Appenzeller (1), A. Gabasch (2), K. Jaeger (3), S.
  Seitz (2), R. Bender (2), A. Boehm (3), J. Snigula (2), K. J. Fricke (3), U.
  Hopp (2), M. Kuemmel (4), C. Moellenhoff (1), T. Szeifert (5), B. Ziegler (3
  and 6), N. Drory (2), D. Mehlert (1), A. Moorwood (7), H. Nicklas (3), S.
  Noll (1), R.P. Saglia (2), W. Seifert (1), O. Stahl (1), E. Sutorius (1 and
  8), S. J. Wagner (1) ((1) LSW Heidelberg, (2) USM Muenchen, (3) USG
  Goettingen, (4) MPIA Heidelberg, (5) ESO-Chile, (6) Akademie der
  Wissenschaften Goettingen, (7) ESO-Garching, (8) Royal Observatory Edinburgh)","The FORS Deep Field: Field selection, photometric observations and
  photometric catalog","15 pages, 11 figures (included), accepted for publication in A&A","Astron.Astrophys.398:49-62,2003","10.1051/0004-6361:20021620",,"astro-ph",,"  The FORS Deep Field project is a multi-colour, multi-object spectroscopic
investigation of an approx. 7 times 7 region near the south galactic pole based
mostly on observations carried out with the FORS instruments attached to the
VLT telescopes. It includes the QSO Q 0103-260 (z = 3.36). The goal of this
study is to improve our understanding of the formation and evolution of
galaxies in the young Universe. In this paper the field selection, the
photometric observations, and the data reduction are described. The source
detection and photometry of objects in the FORS Deep Field is discussed in
detail. A combined B and I selected UBgRIJKs photometric catalog of 8753
objects in the FDF is presented and its properties are briefly discussed. The
formal 50% completeness limits for point sources, derived from the co-added
images, are 25.64, 27.69, 26.86, 26.68, 26.37, 23.60 and 21.57 in U, B, g, R,
I, J and Ks (Vega-system), respectively. A comparison of the number counts in
the FORS Deep Field to those derived in other deep field surveys shows very
good agreement.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 09:34:13 GMT""}]","2008-11-26"
"astro-ph/0211045","Nicoletta Carangelo","A. Treves (1), N. Carangelo (1,4), R. Falomo (2), J. Kotilainen (3)
  ((1) Universita' dell'Insubria, (2) Osservatorio Astronomico di Padova, (3)
  Tuorla Observatory, (4) Universita' di Milano-Bicocca)","Mass of BL Lacs from the Velocity Dispersion of the Host Galaxy","2 pages; Conference proceeding ""Active Galactic Nuclei: From Central
  Engine tp Host Galaxy"", Meudon, France, 23-27 July 2002; to be published in a
  special volume of the Astronomical Society of the Pacific Conference Series",,,,"astro-ph",,"  We report on new measurements of the stellar velocity dispersion of 4 BL Lac
objects for which optical spectroscopy was gathered at the ESO 3.6m using
EFOSC2. Assuming the M(BH)--(sigma) relation is valid also for ellipticals
hosting active nuclei we estimate the central BH mass of these BL Lacs.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 09:48:36 GMT""}]","2007-05-23"
"astro-ph/0211046","Yury Lyubarsky","Y. E. Lyubarsky","Fast magnetosonic waves in pulsar winds","8 pages, 1 eps figure, to appear in MNRAS","Mon.Not.Roy.Astron.Soc. 339 (2003) 765","10.1046/j.1365-8711.2003.06221.x",,"astro-ph",,"  Fast magnetosonic waves in a magnetically-dominated plasma are investigated.
In the pulsar wind, these waves may transport a significant fraction of the
energy flux. It is shown that the nonlinear steepening and subsequent formation
of multiple shocks is a viable mechanism for the wave dissipation in the pulsar
wind. The wave dissipation both in the free pulsar wind and beyond the wind
termination shock is considered.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 10:01:33 GMT""}]","2009-11-07"
