"astro-ph/0212003","Alan Kostelecky","Alan Kostelecky, Ralf Lehnert, and Malcolm Perry","Spacetime-varying couplings and Lorentz violation","4 pages","Phys.Rev.D68:123511,2003","10.1103/PhysRevD.68.123511","IUHET 452","astro-ph hep-ph",,"  Spacetime-varying coupling constants can be associated with violations of
local Lorentz invariance and CPT symmetry. An analytical supergravity cosmology
with time-varying fine-structure constant provides an explicit example.
Estimates are made for some experimental constraints.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 19:35:11 GMT""}]","2009-09-25"
"astro-ph/0212004","Lars Bildsten","Lars Bildsten (Kavli Institute for Theoretical Physics, UCSB)","Arresting Accretion Torques with Gravitational Radiation","6 page conference proceeding, to appear in ""Radio Pulsars"" (ASP Conf.
  Ser.), eds M. Bailes, D.J. Nice, & S.E.Thorsett",,,,"astro-ph gr-qc",,"  Recent theoretical work has made it plausible for neutron stars (NSs) to lose
angular momentum via gravitational radiation on long timescales (around Myrs)
while actively accreting. The gravitational waves (GWs) can either be emitted
via the excitation of r-modes or from a deformed crust. GW emission can thus
intervene to slow-down or halt the otherwise relentless spin-up from accretion.
Prior to this theoretical work (and the measurements of NS rotation rates in
LMXBs) the community was rather confident that an accreting NS would be spun-up
to rotation rates near breakup, motivating searches for sub-millisecond
objects. After only briefly describing the physics of the GW processes, I argue
that the limiting spin frequency might be appreciably lower than the breakup
frequency. Millisecond radio pulsar observers would likely discover the impact
of GW emission as a dropoff in the number of pulsars beyond 600 Hz, and I show
here that the millisecond pulsar inventory in 47 Tuc might already exhibit such
a cutoff. These theoretical ideas will be tested by GW searches with
ground-based interferometers, such as the advanced LIGO instrument proposed for
operation by 2008.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 20:33:31 GMT""}]","2007-05-23"
"astro-ph/0212005","Alessandro Curioni","E. Aprile (1), A.Curioni (1), K. L. Giboni (1), M. Kobayashi (1), U.
  G. Oberlack (2), E. L. Chupp (3), P. P. Dunphy (3), T. Doke (4), J. Kikuchi
  (4), S. Ventura (5) ((1) Columbia University, (2) Rice University, (3)
  University of New Hampshire, (4) Waseda University, (5) INFN-Padova)","The LXeGRIT Compton Telescope Prototype: Current Status and Future
  Prospects","13 pages, 11 figures, SPIE 2002 Proceedings, Conf. Vol. 4851 - 140;
  corrected references",,"10.1117/12.461567",,"astro-ph",,"  LXeGRIT is the first prototype of a novel concept of Compton telescope, based
on the complete 3-dimensional reconstruction of the sequence of interactions of
individual gamma rays in one position sensitive detector. This balloon-borne
telescope consists of an unshielded time projection chamber with an active
volume of 400 cm$^2 \times 7$ cm filled with high purity liquid xenon. Four VUV
PMTs detect the fast xenon scintillation light signal, providing the event
trigger. 124 wires and 4 anodes detect the ionization signals, providing the
event spatial coordinates and total energy. In the period 1999 -- 2001, LXeGRIT
has been extensively tested both in the laboratory and at balloon altitude, and
its response in the MeV region has been thoroughly characterized. Here we
summarize some of the results on pre-flight calibration, event reconstruction
techniques, and performance during a 27 hour balloon flight on October 4 -- 5.
We further present briefly the on-going efforts directed to improve the
performance of this prototype towards the requirements for a base module of a
next-generation Compton telescope.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 22:14:50 GMT""},{""version"":""v2"",""created"":""Wed, 4 Dec 2002 22:35:55 GMT""}]","2009-11-07"
"astro-ph/0212006","Jeffrey R. Weeks","Jeffrey R. Weeks","Detecting topology in a nearly flat hyperbolic universe","9 pages, 5 figures","Mod.Phys.Lett. A18 (2003) 2099-2107","10.1142/S021773230301212X",,"astro-ph",,"  Cosmic microwave background data shows the observable universe to be nearly
flat, but leaves open the question of whether it is simply or multiply
connected. Several authors have investigated whether the topology of a multiply
connect hyperbolic universe would be detectable when 0.9 < Omega < 1. However,
the possibility of detecting a given topology varies depending on the location
of the observer within the space. Recent studies have assumed the observer sits
at a favorable location. The present paper extends that work to consider
observers at all points in the space, and (for given values of Omega_m and
Omega_Lambda and a given topology) computes the probability that a randomly
placed observer could detect the topology. The computations show that when
Omega = 0.98 a randomly placed observer has a reasonable chance (~50%) of
detecting a hyperbolic topology, but when Omega = 0.99 the chances are low
(<10%) and decrease still further as Omega approaches one.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 23:09:36 GMT""}]","2009-11-07"
"astro-ph/0212007","Tapas Kumar Das","Tapas Kumar Das & Aveek Sarkar","Pseudo-Schwarzschild description of transonic spherical accretion onto
  compact objects","15 one-column pages. 6 black and white post-script figures. Published
  in A&A","Astron.Astrophys. 374 (2001) 1150-1160","10.1051/0004-6361:20010736",,"astro-ph",,"  A number of `modified' Newtonian potentials of various forms are available in
the literature which accurately approximate some general relativistic effects
important for studying accretion discs around a Schwarzschild black hole. Such
potentials may be called `pseudo-Schwarzschild' potentials because they nicely
mimic the space-time around a non-rotating/slowly rotating compact object. In
this paper, we examine the validity of the application of some of these
potentials to study the spherically symmetric, transonic, hydrodynamic
accretion onto a Schwarzschild black hole. By comparing the values of various
dynamical and thermodynamic accretion parameters obtained for flows using these
potentials with full general relativistic calculations, we have shown that
though the potentials discussed in this paper were originally proposed to mimic
the relativistic effects manifested in disc accretion, it is quite reasonable
to use most of the potentials in studying various dynamical as well as
thermodynamic quantities for spherical accretion to compromise between the ease
of handling of a Newtonian description of gravity and the realistic situations
described by complicated general relativistic calculations. Also we have shown
that depending on the chosen regions of parameter space spanned by specific
energy ${\cal E}$ and adiabatic index $\gamma$ of the flow, one potential may
have more importance than another and we could identify which potential is the
best approximation for full general relativistic flow in Scwarzschild
space-time for particular values of ${\cal E}$ and $\gamma$.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 23:36:59 GMT""}]","2009-11-07"
"astro-ph/0212008","Alexander Zakharov","A.F. Zakharov, N.S. Kardashev, V.N. Lukash and S.V. Repin","Magnetic fields in AGNs and microquasars","9 pages, 6 figures, submitted to MNRAS","Mon.Not.Roy.Astron.Soc. 342 (2003) 1325","10.1046/j.1365-8711.2003.06638.x",,"astro-ph",,"  Observations of AGNs and microquasars by ASCA, RXTE, Chandra and XMM-Newton
indicate the existence of wide X-ray emission lines of heavy ionized elements
in their spectra. The emission can arise in the inner parts of accretion discs
where the effects of General Relativity (GR) must be counted, moreover such
effects can dominate. We describe a procedure to estimate an upper limit of the
magnetic fields in the regions where X-ray photons are emitted. We simulate
typical profiles of the iron $K_\alpha$ line in the presence of a magnetic
field and compare them with observational data. As an illustration we find $H <
10^{10} - 10^{11}$ Gs for Seyfert galaxy MCG--6--30--15. Using the perspective
facilities of measurement devices (e.g. Constellation-X mission) a better
resolution of the blue peak structure of iron $K_\alpha$ line will allow to
find the value of the magnetic fields if the latter are high enough.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 13:06:07 GMT""},{""version"":""v2"",""created"":""Wed, 4 Dec 2002 10:16:07 GMT""}]","2009-11-07"
"cond-mat/0212009","Nazih Hakim","N. Hakim (1), C. Kusko (1), S. Sridhar (1), A. Soukiassian (2), X. H.
  Zeng (2), X. X. Xi (2). ((1) Physics Department, Northeastern University,
  Boston, MA. (2) Department of Physics and Materials Research Institute, The
  Pennsylvania State University, PA)","The superconducting gap of \QTR{em}{in situ} $MgB_{2}$ thin films by
  microwave surface impedance measurements",,"Appl. Phys. Lett., 81, 3603 (2002)","10.1063/1.1517181",,"cond-mat.supr-con",,"  Precision measurements of the microwave surface resistance $R_{s}$ of in situ
$MgB_{2}$ films directly reveal an exponential behavior of $R_{s}$ at low
temperature indicating a fully-gapped order parameter. The entire temperature
dependence of $R_{s}$ is well described by a Mattis-Bardeen formalism but with
a small gap ratio of $\Delta (0)/kT_{c}=0.72$, corresponding to $\Delta
(0)=1.9meV$.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 02:39:41 GMT""}]","2009-11-07"
"cond-mat/0212010","Wei-Xing Zhou","W.-X. Zhou (UCLA/Igpp) and D. Sornette (UCLA and CNRS-Univ. Nice)","Evidence of a Worldwide Stock Market Log-Periodic Anti-Bubble Since
  Mid-2000","Latex file, 17 pages + 8 tables + 39 eps figures","Physica A 330 (2003) 543-583","10.1016/j.physa.2002.12.001",,"cond-mat.stat-mech q-fin.ST",,"  Following our previous investigation of the USA Standard and Poor index
anti-bubble that started in August 2000, we analyze thirty eight world stock
market indices and identify 21 anti-bubble. An ``anti-bubble'' is defined as a
self-fulfilling decreasing price created by positive price-to-price feedbacks
feeding overall pessimism and negative market sentiment further strengthened by
inter-personal interactions. We mathematically characterize anti-bubbles by a
power law decrease of the price (or of the logarithm of the price) as a
function of time and by decelerating/expanding log-periodic oscillations. The
majority of European and Western stock market indices as well as other stock
indices exhibit practically the same log-periodic power law anti-bubble
structure as found for the USA S&P500 index. These anti-bubbles are found to
start approximately at the same time, August 2000, in all these markets. This
shows a remarkable degree of synchronization worldwide. The descent of the
worldwide stock markets since 2000 is thus an international event, suggesting
the strengthening of globalization.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 03:34:42 GMT""},{""version"":""v2"",""created"":""Thu, 7 Aug 2003 17:15:08 GMT""}]","2008-12-02"
"cond-mat/0212011","Xuedong Hu","R.B. Capaz, Belita Koiller, Xuedong Hu, and S. Das Sarma","Silicon conduction-band effects on shallow donor wavefunctions and
  donor-pair exchange: An {\it ab initio} theory","Manuscript withdrawn by the authors",,,,"cond-mat.mes-hall quant-ph",,"  This paper has been withdrawn by the authors. A more complete treatment of
the bandstructure effects is forthcoming.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 06:55:41 GMT""},{""version"":""v2"",""created"":""Tue, 17 Dec 2002 16:28:29 GMT""}]","2007-05-23"
"cond-mat/0212012","R. K. Zheng","X. G. Li, R. K. Zheng, G. Li, H. D. Zhou, R. X. Huang, J. Q. Xie, Z.
  D. Wang","Jahn-Teller effect and stability of the charge-ordered state in
  La1-xCaxMnO3 (0.5<x<0.9) manganites","16 pages, 5 figures, PDF","Europhys. Lett. 60(5), 670 (2002)","10.1209/epl/i2002-00361-2",,"cond-mat.str-el",,"  The longitudinal ultrasonic sound velocity and attenuation, the resistivity,
and lattice parameters were studied as a function of temperature from 30 K to
300 K in La1-xCaxMnO3 (0.5<x<0.9). For all the samples, a dramatic stiffening
of the sound velocity below the charge ordering transition temperature TCO was
directly driven by distinct changes of the lattice parameters due to the
formation of long range ordering of Jahn-Teller distorted MnO6 octahedra. The
relative change of the sound velocity (DeltaV/V) below TCO depends on the Ca
concentration x and reaches the maximum at x=0.75, implying that the effective
strength of electron-lattice interaction with the Jahn-Teller distortion is the
strongest at x=0.75 and hence the charge ordered state is mostly stabilized
near x=0.75 and insensitive to the application of a magnetic field, which is
supported by the charge transport properties under high magnetic fields up to
14T.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 12:51:11 GMT""}]","2009-11-07"
"cond-mat/0212013","R. K. Zheng","R. K. Zheng, R. X. Huang, A. N. Tang, G. Li, X. G. Li, J. N. Wei, J.
  P. Shui, Z. Yao","Internal friction and Jahn-Teller effect in the charge-ordered
  La1-xCaxMnO3 (0.5<x<0.87)","13 pages, 3 figures, PDF","Appl. Phys. Lett. 81(20), 3834 (2002)","10.1063/1.1519731",,"cond-mat.str-el",,"  The Jahn-Teller effect in the charge-ordered (CO) state for La1-xCaxMnO3
(0.5<x<0.87) was studied by measuring the low-temperature powder x-ray
diffraction, internal friction, and shear modulus. We find that the
electron-lattice interaction with the static Jahn-Teller distortion is the
strongest near x=0.75 in the CO state. It was particularly observed that a
crossover of the Jahn-Teller vibration mode from Q2 to Q3 near x=0.75 induces
crossovers of the crystal structure from tetragonally compressed to
tetragonally elongated orthorhombic, and of the magnetic structure from CE-type
to C-type near x=0.75. The experimental results give strong evidence that the
Jahn-Teller effect not only plays a key role in stabilizing the CO state, but
also determines the magnetic and crystal structures in the CO state for
La1-xCaxMnO3.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 13:02:50 GMT""}]","2009-11-07"
